time_us,ant_ac_uV,gate1_ac_uV,drain_ac_uV,out_ac_uV
0.0008457142579017078,-0.34344689996911804,-2.3998054932139468,5.561755150651493,9.28886409745644
0.0028457142578925407,-0.30528585253568125,-2.374431642193642,5.509378279811017,9.201163097216636
0.0048457142578901494,-0.2665336373112603,-2.344460665160142,5.446334780501161,9.095647797607853
0.006845714257887759,-0.22726520614979373,-2.309950532186633,5.372746530341033,8.972522287820084
0.008845714257892144,-0.18755650932795873,-2.2709679892152224,5.288755890120456,8.832024708027575
0.0108457142578762,-0.14748434867729324,-2.2275884321576456,5.194525300566966,8.67442679819419
0.012845714257880586,-0.10712622896453965,-2.1798957652308104,5.09023703010314,8.500033358060932
0.014845714257878196,-0.06656020806954502,-2.127982230204495,4.976092760955453,8.309181728449744
0.01684571425788258,-0.025864745977401443,-2.0719482363151798,4.852313299608113,8.102240997232002
0.018845714257866637,0.01488144697413784,-2.0119021593156816,4.719137999487089,7.879611437999756
0.020845714257871024,0.05559956230969031,-1.9479601371941158,4.576824490953868,7.641723646756304
0.022845714257868632,0.0962108458971347,-1.8802458412459089,4.42564799030265,7.3890377176866195
0.02484571425786624,0.13663675019973287,-1.8088902402624285,4.26590091961998,7.122042386953353
0.026845714257857076,0.17679908622836546,-1.7340313451796874,4.097892210452869,6.84125404681879
0.02884571425786146,0.21662017479787515,-1.6558139432909513,3.921946881035865,6.547215797070294
0.03084571425785907,0.25602299669044254,-1.5743893171382695,3.7384051498889903,6.240496338349999
0.03284571425785668,0.29493134172537083,-1.489914952301774,3.5476221000863006,5.921688897458921
0.034845714257861066,0.333269956034238,-1.4025542323103934,3.349966640087132,5.591410097594007
0.036845714257851894,0.3709646878121969,-1.3124761262250928,3.145821130701165,5.250298737990988
0.03884571425784951,0.4079426304458772,-1.2198548551278776,2.935580379670455,4.899014577119942
0.04084571425784712,0.4441322638282572,-1.1248695621635107,2.719651050142602,4.538237048379301
0.0428457142578515,0.47946359240714553,-1.0277039601547244,2.498450729859769,4.168663917170079
0.04484571425784233,0.5138682808441997,-0.9285459812158336,2.272407289893863,3.79101001790616
0.04684571425783994,0.5472797859204451,-0.827587408158692,2.041957900544844,3.4060057583218395
0.04884571425783755,0.5796334854930427,-0.7250235081190937,1.8075483296797756,3.014395808520476
0.050845714257841935,0.6108668031898844,-0.6210526553029894,1.5696318911295748,2.616937576860323
0.05284571425782599,0.6409193297817388,-0.515875940187982,1.3286687998714797,2.2143998084089844
0.05484571425783038,0.6697329396764264,-0.40969679027114125,1.085125070687809,1.80756105727653
0.05684571425782799,0.6972519036767064,-0.3027205692784918,0.839471780977874,1.3972082069102498
0.058845714257832374,0.7234229963978346,-0.19515418325788403,0.5921840102729448,0.9841349282169176
0.06084571425781643,0.7481955996500815,-0.08720567912234856,0.34374011015358974,0.5691401678831198
0.06284571425782082,0.7715217998547244,0.020916155696326655,0.09462054073594572,0.15302657807581
0.06484571425781842,0.7933564812292009,0.12900220069944623,-0.15469280967295163,-0.2634010431989964
0.06684571425781603,0.8136574125146065,0.23684340177965169,-0.40371780052339545,-0.6793372531177511
