time_us,ant_peak_uV,gate1_peak_uV,drain_peak_uV,out_peak_uV
0.14285714285714285,1.6393968056105386,3.3356826020236596,0.6302234698551956,1.0132676599994284
0.42857142857142855,0.7053078024594707,2.989135262421172,1.5371201600444806,2.555706179130368
0.7142857142857142,1.1353911734961646,2.9546795820012406,2.215072789191197,3.6765983351116915
1.0,0.8842006941385108,2.345313604990018,2.7845738097553863,4.638480440632975
1.2857142857142856,0.9373370361369007,2.5732062609584716,3.285163105104516,5.474400665228529
1.5714285714285712,0.9561020335301565,2.441358972982144,3.669090509639261,6.117686660367383
1.857142857142857,0.9044457664532907,2.527984819034046,4.01546293993249,6.699135645327203
2.142857142857143,0.9492305290220453,2.494826842003306,4.286464619696062,7.151973605346029
2.4285714285714284,0.9147652213326293,2.4543577534785754,4.521242625621369,7.546327370100414
2.714285714285714,0.9336458181339466,2.480487600986514,4.713094974739818,7.86709537514696
2.9999999999999996,0.924511615465479,2.4473390395352013,4.872920699838801,8.135193700020693
3.285714285714285,0.9266973150149612,2.4639200439935394,5.006912554783582,8.35957972533663
3.571428571428571,0.9274839723024565,2.4581525964739726,5.117352340100467,8.544675430322002
3.857142857142857,0.9255391959114598,2.457938442002039,5.210384565579318,8.700569639863431
4.142857142857142,0.9272613352127326,2.460425329031679,5.28689014522854,8.828670375216063
4.428571428571428,0.9259534132460396,2.457393887045356,5.35103564569539,8.936273435011799
4.7142857142857135,0.9267175061602742,2.459650110475664,5.404510859285949,9.025811214868895
5.0,0.9263135055898313,2.458196479482311,5.448888829917564,9.100150935026363
5.285714285714286,0.9264693133068833,2.458836531049613,5.485693235662836,9.161781645339317
5.571428571428571,0.9265077884209716,2.458634735025278,5.51610732468788,9.212822915216634
5.857142857142857,0.9264219354780188,2.4586845964735815,5.541882864612546,9.255980285338694
6.142857142857142,0.9264338533443903,2.4587630900185786,5.563135425212806,9.29155560491779
6.428571428571428,0.9264181718489279,2.458508861935549,5.580636454283194,9.320865490103358
6.7142857142857135,0.9264500086143403,2.458622159529078,5.595641860089984,9.346069369975396
7.0,0.9263973973246515,2.458579617892198,5.608028584624947,9.366792114384737
7.285714285714286,0.9264572788191515,2.4585372664365224,5.618151095454493,9.38372124537068
7.571428571428571,0.9264756250056029,2.4585928355413955,5.626345900289209,9.397421864676403
7.857142857142856,0.926455376303834,2.458665637528057,5.633532060400626,9.409541305238633
8.142857142857142,0.926403236734236,2.4586475280141684,5.639450869843188,9.419426519663432
8.428571428571427,0.9264371310349933,2.458522594506185,5.644168014740103,9.427299620057283
8.714285714285714,0.926438740962223,2.458548070016775,5.648437534588879,9.434531325069884
8.999999999999998,0.9264016059558369,2.4585724445191914,5.651986445087687,9.440445234432104
9.285714285714286,0.9264562159082876,2.4585043374436566,5.654748364669615,9.44504161548565
9.571428571428571,0.9264746645675599,2.458574623998011,5.6568172599469335,9.448477995555038
9.857142857142858,0.9264565351187498,2.4586512404889405,5.658840904310125,9.451947329708332
10.142857142857142,0.9264019941432973,2.4586312334928806,5.660523999750922,9.454735505620704
