node,dc_v,peak_uV,voltage_ratio_from_ant,gain_from_ant_db
ant,-3.6453452791445826e-10,0.9265111934417313,1.0,0.0
gate1,1.0505406970801212,2.4587569930067943,2.653780127440443,8.477298751917226
drain,11.54718098959666,5.668999524921503,6.11865195482717,15.733115001514426
out,11.547165804471312,9.468934204726054,10.21998899932509,20.189008566590353
