case,bfo_amplitude_v_peak,if_amplitude_v_peak,board_in_9p001mhz_vpp,t79_2_secondary_9p001mhz_vpp,q79_3_g1_9p001mhz_vpp,q79_3_g2_9mhz_vpp,q79_3_g2_dc_v,q79_3_drain_dc_v,q79_3_source_dc_v,drain_9mhz_band_residual_vpp,drain_18p001mhz_sum_vpp,drain_1khz_vpp,c79_17_1khz_vpp,filt_loop_1khz_vpp,audio_terminal_1khz_vpp,filt_loop_2khz_vpp,filt_loop_3khz_vpp,filt_loop_thd_percent,detector_transfer_filt_per_g1,detector_transfer_drain_per_g1,g1_vs_sim2_ac_percent,pin_bias_dc_v,agc_store_dc_v
bfo-0mv,0.0,0.0001,0.00019999999999971684,0.4366653318103185,0.11224024251124431,5.0860264719805805e-06,1.7372825362456878,3.3528868167766612,1.737281288740563,0.0015622306941902586,6.85165132260388e-06,0.00013018870866981076,2.1753533165599828e-05,1.953896942788461e-05,0.008247703783882475,1.0065309458732129e-05,6.751378110591719e-06,70.3843455284389,0.00017408167508126314,0.0011599111491296748,-0.9581826601098187,0.038614956206264685,1.0801316390175493
bfo-25mv,0.025,0.0001,0.00019999999972873395,0.4366659348455172,0.11224039732584881,0.045674851357302856,1.7372822630133495,3.3539633807249634,1.7372802737733113,0.0015524543540714753,1.201011455186049e-05,0.008798595827622947,0.0026832367984479535,0.002690126885665007,0.26833276428120906,3.300713571610325e-05,3.4594524524761477e-06,1.2551022133088368,0.023967545997322256,0.07839063329470808,-0.9580460502857768,0.038750465430398486,1.0838285982935854
bfo-50mv,0.05,0.0001,0.00020000000028874988,0.43666561720597424,0.11224031629126388,0.09135472192413764,1.7372608049302534,3.355930582062897,1.7372576348462576,0.0015400688387785522,2.070733071770703e-05,0.017408788831128116,0.005361950970651673,0.00534289887908517,0.5274810305210738,0.00012177704054898902,1.54124123329369e-05,2.3048615134131216,0.0476023148867501,0.15510281337725626,-0.9581175559452371,0.03875724372452377,1.0887662494325283
bfo-100mv,0.1,0.0001,0.00020000000016584817,0.43666615241806395,0.11224045810834614,0.18271451826824148,1.7371575188270585,3.3623703016784168,1.737150822223889,0.00151141237442598,4.205178042458085e-05,0.03406907457210822,0.010523031119251253,0.010471426763684857,1.0303058998554468,0.0003976928553421065,0.00011735765500048516,4.021014998721516,0.09329458325603722,0.3035364889478731,-0.9579924152537833,0.03913677500506975,1.0990206440062997
bfo-200mv,0.2,0.0001,0.00019999999994368536,0.436665405055955,0.11224027208268397,0.36543427820172675,1.7367366166021703,3.3842518753172346,1.7367184378631069,0.0014719724652465516,9.829650176105448e-05,0.06287205502320117,0.01937148547617404,0.019336348086703203,1.904255987847366,0.0005356437611237743,7.2364459428956e-05,2.805776427383307,0.1722763828695881,0.5601559391880773,-0.9581565660007896,0.03994512014873256,1.1173809926478675
bfo-400mv,0.4,0.0001,0.00019999999997977286,0.43666571013887,0.11224036466134121,0.7308742884313487,1.7351912633443325,3.458281689135043,1.7351349045002753,0.001637453323764415,0.0002647504582888926,0.11235167373171236,0.034009770567925424,0.034489543337407155,3.4379592350922663,0.0006485753157881652,3.528003392606728e-05,1.8974327806905316,0.3072828874128412,1.0009917026793969,-0.9580748737462619,0.03955114353528324,1.1340367787625618
bfo-800mv,0.8,0.0001,0.00019999999958296305,0.43659499039566985,0.11222223203049729,1.4617556459821703,1.7301134120112494,3.6936578534373288,1.7299365812234386,0.002939299782056981,0.0007518511477420023,0.19234488341880623,0.055844447244216305,0.059269538927340944,5.946751364777105,0.000898036272923488,0.0002752274609788856,1.7056140954249746,0.5281443601231703,1.7139641578910583,-0.974075273173014,0.03890787156184191,1.1228121974486276
bfo-1500mv,1.5,0.0001,0.00020000000012823814,0.43659688329598323,0.11222281440663319,2.7407993415790717,1.719056134740413,4.20155501301535,1.7186197368616571,0.007227240060371898,0.0016218771972936836,0.28503328179169074,0.07620294519251038,0.08813682189727319,5.269027808338719,0.0019652012224759523,0.0011084505467914892,2.8488191884967478,0.7853734765367252,2.5398871281100504,-0.9735613791401421,0.0387465444320584,1.1010022420678967
if-off,0.4,0.0,0.0,7.39028128899033e-07,1.7553445676148892e-07,0.7308787457590336,1.7350806375141243,3.4502940409674516,1.7350307590730465,0.0009188512369613377,0.00021515778259106606,0.0014515709810408912,0.0004940960494464558,0.0003069438748280941,0.1051090775345523,0.00015988419927178123,0.00010742697581990493,71.24292875701288,1748.6246318303217,8269.436142746854,nan,0.03970657482680366,1.0888287868786561
