frequency;user0 (gain);user1 (gain);user2 (gain);user3 (gain)
3000000.0;3.4239579831445504;-8.84712019347867;4.487001428375013;7.784076748248205
3000690.855062474;3.4374288181513273;-8.835836592166576;4.48695761990084;7.786307790417065
3001381.86921852;3.450914156788891;-8.824539544371731;4.48691382628285;7.788539874877771
3002073.042504776;3.4644140292817367;-8.813229017159797;4.486870047512772;7.790772998928764
3002764.374957887;3.4779284659410292;-8.801904977494262;4.48682628358109;7.793007159854199
3003455.866614505;3.491457497216026;-8.790567392202416;4.486782534480238;7.795242354938203
3004147.517511295;3.5050011536483905;-8.779216228010561;4.48673880020119;7.797478581457765
3004839.327684925;3.518559465875741;-8.767851451520757;4.4866950807356485;7.799715836660851
3005531.297172076;3.532132464654736;-8.756473029222814;4.486651376074842;7.801954117802707
3006223.426009434;3.545720180840217;-8.745080927483466;4.486607686210492;7.8041934221131894
3006915.714233696;3.5593226454028084;-8.733675112556572;4.486564011133811;7.806433746825569
3007608.161881567;3.572939889413453;-8.722255550574205;4.486520350836308;7.808675089151351
3008300.768989758;3.586571944058246;-8.710822207549377;4.486476705309424;7.810917446298201
3008993.535594992;3.6002188406245272;-8.69937504937236;4.486433074544897;7.8131608154519885
3009686.461733998;3.613880610513323;-8.687914041815496;4.486389458534205;7.815405193794616
3010379.547443514;3.627557285234433;-8.676439150537892;4.486345857268134;7.817650578504191
3011072.792760287;3.641248896413622;-8.664950341061767;4.4863022707388485;7.819896966736542
3011766.197721072;3.6549554757806177;-8.653447578797314;4.486258698937624;7.82214435564031
3012459.762362634;3.6686770551820906;-8.641930829026865;4.486215141856186;7.824392742352768
3013153.486721743;3.682413666567863;-8.630400056917443;4.48617159948556;7.826642123999744
3013847.37083518;3.696165342001623;-8.618855227504504;4.486128071817456;7.8288924976886705
3014541.414739735;3.7099321136786774;-8.607296305698846;4.486084558843629;7.831143860533896
3015235.618472205;3.723714013880566;-8.59572325629448;4.486041060555104;7.83339620961994
3015929.982069396;3.7375110750294556;-8.584136043949318;4.485997576943847;7.835649542034928
3016624.505568123;3.751323329632743;-8.572534633208397;4.485954108000666;7.837903854840476
3017319.189005208;3.765150810337969;-8.560918988474175;4.4859106537177675;7.840159145094377
3018014.032417483;3.7789935499031517;-8.549289074029975;4.485867214086664;7.842415409846462
3018709.035841787;3.792851581183747;-8.537644854041922;4.4858237890979185;7.8446726461277505
3019404.19931497;3.806724937186357;-8.525986292526174;4.485780378743998;7.846930850968534
3020099.522873887;3.820613651004704;-8.51431335338108;4.485736983016415;7.849190021369369
3020795.006555405;3.8345177558558934;-8.502626000380278;4.485693601906214;7.8514501543299575
3021490.650396396;3.8484372850892994;-8.490924197165011;4.485650235404678;7.853711246849634
3022186.454433744;3.8623722721674616;-8.47920790723738;4.485606883503809;7.855973295901033
3022882.41870434;3.8763227506696096;-8.46747709397093;4.485563546195361;7.858236298445183
3023578.543245082;3.890288754286273;-8.45573172061541;4.485520223470391;7.860500251431292
3024274.828092878;3.9042703168466035;-8.443971750285167;4.485476915320198;7.862765151811576
3024971.273284645;3.9182674722935444;-8.432197145947791;4.4854336217372595;7.8650309965040766
3025667.878857308;3.932280254683016;-8.420407870459133;4.485390342712156;7.867297782429993
3026364.644847799;3.9463086982046436;-8.40860388652665;4.485347078236672;7.869565506494621
3027061.571293061;3.9603528371708934;-8.396785156723016;4.4853038283025635;7.871834165591346
