frequency;user0 (gain);user3 (gain)
28500000.0;54.38280435378037;24.29865247572847
28503281.37264488;54.497130641799444;24.35881027498982
28506563.1230935;54.612273412018915;24.419459113217975
28509845.25138935;54.728245270000315;24.480607851403732
28513127.75757594;54.845059136248565;24.54226560518957
28516410.64169677;54.96272825867409;24.60444175489261
28519693.90379537;55.08126622255674;24.667145955219176
28522977.54391524;55.200686964238756;24.73038814726772
28526261.56209992;55.32100478299303;24.794178568665437
28529545.95839293;55.44223435431634;24.858527766563686
28532830.7328378;55.564390744435826;24.92344660978281
28536115.88547807;55.687489423856256;24.988946301763974
28539401.41635729;55.81154628418694;25.055038395290925
28542687.32551901;55.93657765272178;25.12173480590889
28545973.61300679;56.06260030940695;25.189047828612384
28549260.27886416;56.18963150586885;25.25699015276452
28552547.32313472;56.31768898215561;25.325574879986114
28555834.74586201;56.446790987081116;25.394815542029242
28559122.54708962;56.5769562994564;25.464726118621254
28562410.72686113;56.70820424717768;25.53532105910047
28565699.28522011;56.84055473330388;25.606615301830914
28568988.22221017;56.97402825645679;25.678624297528568
28572277.53787488;57.108645938428644;25.751364031774994
28575567.23225786;57.24442954932093;25.824851050649492
28578857.3054027;57.38140153594843;25.899102486046033
28582147.75735302;57.51958505142389;25.974136083956722
28585438.58815242;57.659003985189386;26.0499702334808
28588729.79784453;57.79968299719129;26.12662399751656
28592021.38647298;57.94164755207825;26.204117146369015
28595313.35408138;58.08492395561505;26.282470191975
28598605.70071338;58.22953939391716;26.361704424761115
28601898.42641262;58.37552197362125;26.441841953560296
28605191.53122273;58.522900767027835;26.522905746393196
28608485.01518737;58.67170585706222;26.60491967505566
28611778.87835019;58.82196838696177;26.68790856241302
28615073.12075485;58.97372061178566;26.771898232120407
28618367.74244502;59.12699595453529;26.85691556193796
28621662.74346437;59.28182906421075;26.942988541205807
28624958.12385656;59.43825587904466;27.03014633055787
28628253.88366528;59.59631369285165;27.11841932687978
28631550.02293422;59.756041225930254;27.207839233107237
28634846.54170705;59.91747870230167;27.298439130890305
28638143.44002749;60.08066792830954;27.39025356069339
28641440.71793922;60.24565238167703;27.483318605277706
28644738.37548596;60.41247730251399;27.577671981611726
28648036.4127114;60.581189793122164;27.673353136790123
28651334.82965927;60.75183892438176;27.770403352906193
28654633.62637329;60.92447584888798;27.86886586048068
28657932.80289717;61.09915392403168;27.96878595550509
28661232.35927466;61.275928843711156;28.070211133310657
28664532.29554948;61.45485877919158;28.173191225078323
28667832.61176537;61.63600453164768;28.277778550687444
28671133.30796609;61.81942969656343;28.384028080840405
28674434.38419537;62.00520084171433;28.491997612930177
28677735.84049698;62.193387697539755;28.601747961198374
28681037.67691467;62.3840633657401;28.71334316406883
28684339.89349221;62.577304543167294;28.82685070569442
28687642.49027337;62.7731917659449;28.94234176257305
28690945.46730192;62.971809674730075;29.05989146405945
28694248.82462165;63.17324730178575;29.17957918217538
28697552.56227634;63.377598383771314;29.301488844772695
28700856.68030978;63.584961706550786;29.425709276704527
28704161.17876576;63.79544147757839;29.552334576324164
28707466.05768809;64.00914773216824;29.681464524645598
28710771.31712057;64.22619678713332;29.813205032033192
28714076.95710701;64.44671172803909;29.94766863774602
28717382.97769122;64.67082295073125;30.084975046910856
28720689.37891703;64.89866875998327;30.225251734889152
28723996.16082827;65.1303960244666;30.368634604555528
28727303.32346876;65.36616090553055;30.51526872018936
28730610.86688233;65.60612966237512;30.66530911774023
28733918.79111284;65.85047954681009;30.818921705228135
28737227.09620412;66.09939980148911;30.976284267625456
28740535.78220002;66.35309276608878;31.137587583036073
28743844.84914441;66.61177512498334;31.303036675293217
