target_per_diode_current_a,frequency_hz,q79_3_gate1_gain_db
0.0,8800000.0,37.17801386100472
0.0,8800200.0,37.18989263508377
0.0,8800400.0,37.20178045549467
0.0,8800600.0,37.21367735871604
0.0,8800800.0,37.225583345002704
0.0,8801000.0,37.237498438323556
0.0,8801200.0,37.249422638511035
0.0,8801400.0,37.26135598095301
0.0,8801600.0,37.273298465013355
0.0,8801800.0,37.285250113641965
0.0,8802000.0,37.29721094949911
0.0,8802200.0,37.30918097127614
0.0,8802400.0,37.32116020115456
0.0,8802600.0,37.3331486610287
0.0,8802800.0,37.34514636071536
0.0,8803000.0,37.35715330981097
0.0,8803200.0,37.369169541209565
0.0,8803400.0,37.381195052229145
0.0,8803600.0,37.393229863486894
0.0,8803800.0,37.40527399531767
0.0,8804000.0,37.417327467774875
0.0,8804200.0,37.4293902889539
0.0,8804400.0,37.441462466735224
0.0,8804600.0,37.45354403207508
0.0,8804800.0,37.465634992329186
0.0,8805000.0,37.477735377865834
0.0,8805200.0,37.48984518392298
0.0,8805400.0,37.501964428752736
0.0,8805600.0,37.51409314189639
0.0,8805800.0,37.52623132946083
0.0,8806000.0,37.53837902040791
0.0,8806200.0,37.55053620881578
0.0,8806400.0,37.56270292311867
0.0,8806600.0,37.574879191415704
0.0,8806800.0,37.58706500706998
0.0,8807000.0,37.599260397658085
0.0,8807200.0,37.611465390424215
0.0,8807400.0,37.62367997802392
0.0,8807600.0,37.635904198586985
0.0,8807800.0,37.64813805568839
0.0,8808000.0,37.6603815754446
0.0,8808200.0,37.67263476093443
0.0,8808400.0,37.68489763771567
0.0,8808600.0,37.697170219697234
0.0,8808800.0,37.70945253183376
0.0,8809000.0,37.721744576174004
0.0,8809200.0,37.73404638839594
0.0,8809400.0,37.74635797001457
0.0,8809600.0,37.75867933359418
0.0,8809800.0,37.77101051389633
0.0,8810000.0,37.78335151166603
0.0,8810200.0,37.79570236104255
0.0,8810400.0,37.80806306224615
0.0,8810600.0,37.820433637634224
0.0,8810800.0,37.83281410924837
0.0,8811000.0,37.84520449881527
0.0,8811200.0,37.857604805516466
0.0,8811400.0,37.870015050547046
0.0,8811600.0,37.8824352658739
0.0,8811800.0,37.894865460953355
