target_per_diode_current_a,forced_total_bus_current_a,pin_bias_bus_v,gain_at_9mhz_db,peak_gain_db,peak_frequency_hz,d79_1_current_a,d79_1_modeled_rf_resistance_ohm,d79_2_current_a,d79_2_modeled_rf_resistance_ohm,d79_3_current_a,d79_3_modeled_rf_resistance_ohm,attenuation_at_9mhz_db
0.0,0.0,-3.0626284e-18,55.06592152412844,55.06609343890646,8999800.0,9.999999887266023e-30,8000000.0,9.999999887266023e-30,8000000.0,9.999999887266023e-30,8000000.0,0.0
1e-06,3e-06,0.482563897,53.843598371831725,53.84721523200689,8998600.0,1.0000000000000008e-06,7999.999999999994,1.0000000000000008e-06,7999.999999999994,1.0000000000000008e-06,7999.999999999994,1.2223231522967168
3e-06,9e-06,0.527187493,51.707346404107525,51.71895507826919,8997000.0,3.0000000000000026e-06,2666.6666666666642,3.0000000000000026e-06,2666.6666666666642,3.0000000000000026e-06,2666.6666666666642,3.358575120020916
1e-05,3.0000000000000004e-05,0.580899852,46.178228660640144,46.184299587232296,8996200.0,1.000000000000001e-05,799.9999999999993,1.000000000000001e-05,799.9999999999993,1.000000000000001e-05,799.9999999999993,8.887692863488297
3e-05,9e-05,0.643527119,36.66490214563596,36.719382877116956,9027400.0,3.0000000000000028e-05,266.6666666666664,3.0000000000000028e-05,266.6666666666664,3.0000000000000028e-05,266.6666666666664,18.401019378492478
0.0001,0.00030000000000000003,0.760252102,19.360710109938005,20.77674541615316,9200000.0,0.00010000000000000009,79.99999999999993,0.00010000000000000009,79.99999999999993,0.00010000000000000009,79.99999999999993,35.70521141419044
0.0003,0.0009,1.00291537,-3.639035845477623,-1.671480828938865,9200000.0,0.00029999999499999994,26.666667111111124,0.00029999999499999994,26.666667111111124,0.00029999999499999994,26.666667111111124,58.70495736960606
0.001,0.003,1.74976636,-32.49113746841816,-30.392500007077622,9200000.0,0.001000000001,7.999999992,0.001000000001,7.999999992,0.001000000001,7.999999992,87.5570589925466
0.003,0.009000000000000001,3.79278963,-57.17944115297681,-55.140594527889746,9200000.0,0.002999999997,2.6666666693333334,0.002999999997,2.6666666693333334,0.002999999997,2.6666666693333334,112.24536267710525
0.01,0.03,10.8409006,-75.71783296656173,-73.86820904233703,9200000.0,0.009999999981999998,0.8000000014400002,0.009999999981999998,0.8000000014400002,0.009999999981999998,0.8000000014400002,130.78375449069017
0.012,0.036000000000000004,12.8483742,-77.5926871271472,-75.76375048438832,9200000.0,0.011999999984,0.6666666675555556,0.011999999984,0.6666666675555556,0.011999999984,0.6666666675555556,132.65860865127564
0.02,0.06,20.8697929,-81.84911602887261,-80.0572358284254,9200000.0,0.019999999991,0.40000000018000004,0.019999999991,0.40000000018000004,0.019999999991,0.40000000018000004,136.91503755300107
