r89_27_position,r89_27_wiper_percent,load_ohm,test_point,s5_pos,pto_mhz,crystal_mhz,difference_mhz,wanted_mhz,crystal_source_mvpp,out_wanted_mvpp,out_crystal_mvpp,out_pto_mvpp,out_difference_mvpp,raw_wanted_mvpp,raw_crystal_mvpp,raw_pto_mvpp,raw_difference_mvpp,out_total_mvpp,out_wanted_to_largest_unwanted_db,raw_wanted_to_largest_unwanted_db
0,0,1000000,19 MHz low edge,1,5.01,13.99,8.98,19,3.21299865,262.769408,6.89036079,2.9283578,26.9429013,439.216563,25.8575201,18.1063388,128.75833,295.181603,19.7826089,10.6580675
0,0,1000000,20 MHz center,2,5.51,14.49,8.98,20,3.10586914,128.39198,9.14433653,1.7776568,14.0126836,165.79296,32.1781827,10.2437946,66.9724563,148.345664,19.2403316,7.87339716
0,0,1000000,21 MHz high edge,4,5.51,15.49,9.98,21,2.91105247,135.131279,16.4456646,1.7933486,17.7568723,124.712876,50.6938825,10.2277771,79.9980674,166.650373,17.6277883,3.85663597
0.1,10,1000000,19 MHz low edge,1,5.01,13.99,8.98,19,3.14437345,212.546049,5.47206448,2.91913026,21.8682093,355.266954,20.6198715,17.8855528,104.497461,239.497745,19.7527963,10.6289815
0.1,10,1000000,20 MHz center,2,5.51,14.49,8.98,20,3.04276074,103.83583,7.23600351,1.76608606,11.3651535,134.081907,25.5433972,10.1251904,54.3157302,119.915915,19.2154387,7.84889112
0.1,10,1000000,21 MHz high edge,4,5.51,15.49,9.98,21,2.85778957,109.215898,12.9614263,1.78103778,14.3857258,100.791595,40.0393915,10.1181706,64.8000575,134.526177,17.6070816,3.83697856
