frequency;user0 (gain);user3 (gain);
3.6e+06;-24.4133;12.2054;
3.6083e+06;-24.367;12.2758;
3.61662e+06;-24.3203;12.3466;
3.62495e+06;-24.273;12.4179;
3.63331e+06;-24.2253;12.4897;
3.64169e+06;-24.1772;12.5618;
3.65008e+06;-24.1286;12.6343;
3.6585e+06;-24.0797;12.7072;
3.66693e+06;-24.0304;12.7805;
3.67538e+06;-23.9808;12.854;
3.68385e+06;-23.9309;12.9277;
3.69235e+06;-23.8808;13.0017;
3.70086e+06;-23.8305;13.0758;
3.70939e+06;-23.7801;13.1501;
3.71794e+06;-23.7295;13.2244;
3.72651e+06;-23.6789;13.2988;
3.7351e+06;-23.6284;13.373;
3.74371e+06;-23.5779;13.4472;
3.75234e+06;-23.5276;13.5212;
3.76099e+06;-23.4774;13.595;
3.76966e+06;-23.4276;13.6684;
3.77835e+06;-23.3782;13.7415;
3.78706e+06;-23.3293;13.814;
3.79579e+06;-23.2809;13.886;
3.80454e+06;-23.2331;13.9572;
3.81331e+06;-23.1862;14.0277;
3.8221e+06;-23.1401;14.0973;
3.83091e+06;-23.0949;14.1659;
3.83975e+06;-23.0509;14.2334;
3.8486e+06;-23.0081;14.2996;
3.85747e+06;-22.9667;14.3644;
3.86636e+06;-22.9268;14.4277;
3.87527e+06;-22.8885;14.4894;
3.88421e+06;-22.8519;14.5492;
3.89316e+06;-22.8173;14.6071;
3.90214e+06;-22.7848;14.6629;
3.91113e+06;-22.7545;14.7165;
3.92015e+06;-22.7267;14.7676;
3.92919e+06;-22.7013;14.8161;
3.93824e+06;-22.6788;14.8619;
3.94732e+06;-22.6591;14.9048;
3.95642e+06;-22.6424;14.9446;
3.96554e+06;-22.629;14.9811;
3.97468e+06;-22.619;15.0143;
3.98385e+06;-22.6125;15.0438;
3.99303e+06;-22.6097;15.0697;
4.00223e+06;-22.6107;15.0917;
4.01146e+06;-22.6157;15.1097;
4.02071e+06;-22.6249;15.1236;
4.02998e+06;-22.6382;15.1332;
4.03927e+06;-22.656;15.1384;
4.04858e+06;-22.6782;15.1391;
4.05791e+06;-22.7049;15.1353;
4.06727e+06;-22.7363;15.1268;
4.07664e+06;-22.7724;15.1136;
4.08604e+06;-22.8132;15.0957;
4.09546e+06;-22.8587;15.073;
4.1049e+06;-22.9091;15.0454;
4.11436e+06;-22.9642;15.0131;
4.12385e+06;-23.0241;14.976;
4.13335e+06;-23.0887;14.9341;
4.14288e+06;-23.158;14.8875;
4.15243e+06;-23.232;14.8363;
4.162e+06;-23.3105;14.7805;
4.1716e+06;-23.3934;14.7202;
4.18122e+06;-23.4808;14.6556;
4.19085e+06;-23.5723;14.5866;
4.20051e+06;-23.668;14.5136;
4.2102e+06;-23.7677;14.4365;
4.2199e+06;-23.8712;14.3555;
4.22963e+06;-23.9784;14.2709;
4.23938e+06;-24.0892;14.1826;
4.24915e+06;-24.2034;14.091;
4.25895e+06;-24.3208;13.9961;
4.26877e+06;-24.4412;13.8981;
4.27861e+06;-24.5646;13.7972;
4.28847e+06;-24.6907;13.6936;
4.29836e+06;-24.8194;13.5873;
4.30827e+06;-24.9505;13.4786;
4.3182e+06;-25.0838;13.3677;
4.32815e+06;-25.2193;13.2546;
4.33813e+06;-25.3566;13.1396;
4.34813e+06;-25.4958;13.0228;
4.35815e+06;-25.6366;12.9043;
4.3682e+06;-25.779;12.7842;
4.37827e+06;-25.9227;12.6628;
4.38836e+06;-26.0676;12.5401;
4.39848e+06;-26.2137;12.4163;
