frequency;user0 (gain);user3 (gain);
6e+06;9.46796;9.91801;
6.01383e+06;9.68875;10.01;
6.02769e+06;9.91312;10.1037;
6.04159e+06;10.1412;10.1992;
6.05552e+06;10.373;10.2965;
6.06948e+06;10.6088;10.3957;
6.08347e+06;10.8486;10.4969;
6.09749e+06;11.0926;10.6;
6.11155e+06;11.3409;10.7052;
6.12564e+06;11.5936;10.8125;
6.13976e+06;11.8509;10.922;
6.15391e+06;12.1129;11.0338;
6.1681e+06;12.3798;11.1479;
6.18232e+06;12.6518;11.2644;
6.19657e+06;12.929;11.3834;
6.21085e+06;13.2117;11.5051;
6.22517e+06;13.5;11.6294;
6.23952e+06;13.7941;11.7565;
6.2539e+06;14.0942;11.8864;
6.26832e+06;14.4006;12.0194;
6.28277e+06;14.7135;12.1555;
6.29725e+06;15.0332;12.2947;
6.31177e+06;15.36;12.4374;
6.32632e+06;15.694;12.5835;
6.34091e+06;16.0358;12.7332;
6.35552e+06;16.3854;12.8867;
6.37017e+06;16.7434;13.0441;
6.38486e+06;17.11;13.2057;
6.39958e+06;17.4857;13.3715;
6.41433e+06;17.8709;13.5417;
6.42912e+06;18.2659;13.7167;
6.44394e+06;18.6714;13.8965;
6.45879e+06;19.0877;14.0814;
6.47368e+06;19.5154;14.2716;
6.4886e+06;19.9551;14.4675;
6.50356e+06;20.4074;14.6692;
6.51855e+06;20.873;14.8771;
6.53358e+06;21.3526;15.0914;
6.54864e+06;21.8469;15.3126;
6.56374e+06;22.3568;15.5409;
6.57887e+06;22.8831;15.7768;
6.59404e+06;23.4268;16.0206;
6.60924e+06;23.9889;16.2728;
6.62447e+06;24.5706;16.5338;
6.63974e+06;25.1729;16.8041;
6.65505e+06;25.7973;17.0842;
6.67039e+06;26.445;17.3747;
6.68577e+06;27.1176;17.676;
6.70118e+06;27.8166;17.9888;
6.71663e+06;28.5437;18.3137;
6.73211e+06;29.3006;18.6511;
6.74763e+06;30.0891;19.0017;
6.76318e+06;30.9111;19.366;
6.77878e+06;31.7685;19.7443;
6.7944e+06;32.6629;20.1369;
6.81006e+06;33.5958;20.5439;
6.82576e+06;34.5682;20.9648;
6.8415e+06;35.5803;21.3989;
6.85727e+06;36.6309;21.8446;
6.87308e+06;37.717;22.2992;
6.88892e+06;38.8321;22.7587;
6.9048e+06;39.9656;23.217;
6.92072e+06;41.0997;23.6657;
6.93667e+06;42.2074;24.0933;
6.95266e+06;43.2499;24.4851;
6.96869e+06;44.1747;24.8233;
6.98476e+06;44.9179;25.0884;
7.00086e+06;45.4125;25.2616;
7.017e+06;45.6038;25.3283;
7.03317e+06;45.467;25.281;
7.04939e+06;45.0155;25.1204;
7.06564e+06;44.2952;24.8554;
7.08192e+06;43.3689;24.5006;
7.09825e+06;42.3;24.0742;
7.11461e+06;41.1435;23.5944;
7.13101e+06;39.9422;23.0783;
7.14745e+06;38.7269;22.5402;
7.16393e+06;37.5192;21.9912;
7.18044e+06;36.3329;21.44;
7.197e+06;35.1766;20.8927;
7.21359e+06;34.0554;20.3533;
7.23022e+06;32.9717;19.8248;
7.24688e+06;31.9261;19.3087;
7.26359e+06;30.9183;18.8061;
7.28033e+06;29.9473;18.3173;
7.29712e+06;29.0117;17.8423;
7.31394e+06;28.1098;17.381;
7.3308e+06;27.2398;16.9329;
7.3477e+06;26.4;16.4976;
7.36464e+06;25.5886;16.0744;
7.38161e+06;24.8039;15.6629;
7.39863e+06;24.0444;15.2624;
7.41568e+06;23.3085;14.8723;
7.43278e+06;22.5948;14.4921;
7.44991e+06;21.9019;14.1212;
7.46709e+06;21.2287;13.7591;
7.4843e+06;20.5739;13.4052;
7.50155e+06;19.9364;13.0592;
7.51885e+06;19.3153;12.7205;
7.53618e+06;18.7095;12.3887;
7.55355e+06;18.1183;12.0635;
7.57097e+06;17.5407;11.7443;
7.58842e+06;16.9761;11.4309;
7.60591e+06;16.4236;11.1229;
7.62344e+06;15.8827;10.8199;
7.64102e+06;15.3526;10.5217;
7.65863e+06;14.8329;10.228;
7.67629e+06;14.3228;9.93849;
7.69398e+06;13.822;9.65287;
7.71172e+06;13.3298;9.37089;
7.7295e+06;12.8459;9.09232;
7.74732e+06;12.3697;8.81691;
7.76518e+06;11.9009;8.54444;
7.78308e+06;11.439;8.27468;
7.80102e+06;10.9836;8.00742;
7.819e+06;10.5344;7.74246;
7.83703e+06;10.091;7.47958;
7.85509e+06;9.6531;7.21858;
7.8732e+06;9.22031;6.95928;
7.89135e+06;8.79233;6.70149;
7.90954e+06;8.36884;6.445;
7.92777e+06;7.94954;6.18964;
7.94605e+06;7.53413;5.93521;
7.96437e+06;7.12232;5.68153;
7.98273e+06;6.71382;5.42841;
8.00113e+06;6.30836;5.17567;
8.01957e+06;5.90564;4.9231;
8.03806e+06;5.50539;4.67053;
8.05659e+06;5.10734;4.41774;
8.07516e+06;4.7112;4.16455;
8.09378e+06;4.3167;3.91073;
8.11244e+06;3.92354;3.65609;
8.13114e+06;3.53144;3.4004;
8.14988e+06;3.14011;3.14342;
8.16867e+06;2.74926;2.88493;
8.1875e+06;2.35856;2.62467;
8.20637e+06;1.9677;2.36238;
8.22529e+06;1.57636;2.09778;
8.24425e+06;1.18418;1.83058;
8.26326e+06;0.79081;1.56048;
8.28231e+06;0.395871;1.28713;
8.3014e+06;-0.0010379;1.01019;
8.32053e+06;-0.400339;0.729269;
8.33972e+06;-0.802483;0.443971;
8.35894e+06;-1.20795;0.153849;
8.37821e+06;-1.61726;-0.141575;
8.39752e+06;-2.03098;-0.442822;
8.41688e+06;-2.44969;-0.750463;
8.43629e+06;-2.87408;-1.06512;
8.45573e+06;-3.30485;-1.38748;
8.47523e+06;-3.74279;-1.71831;
8.49476e+06;-4.18879;-2.05844;
