frequency;user0 (gain);user3 (gain);
3.6e+06;11.2928;12.2052;
3.6083e+06;11.5456;12.2755;
3.61662e+06;11.8025;12.3463;
3.62495e+06;12.0636;12.4176;
3.63331e+06;12.329;12.4893;
3.64169e+06;12.5988;12.5614;
3.65008e+06;12.8732;12.6339;
3.6585e+06;13.1523;12.7068;
3.66693e+06;13.4362;12.78;
3.67538e+06;13.7251;12.8534;
3.68385e+06;14.0191;12.9271;
3.69235e+06;14.3184;13.0011;
3.70086e+06;14.6232;13.0752;
3.70939e+06;14.9336;13.1494;
3.71794e+06;15.2498;13.2236;
3.72651e+06;15.572;13.2979;
3.7351e+06;15.9004;13.3721;
3.74371e+06;16.2352;13.4462;
3.75234e+06;16.5765;13.5202;
3.76099e+06;16.9246;13.5938;
3.76966e+06;17.2796;13.6672;
3.77835e+06;17.6418;13.7401;
3.78706e+06;18.0113;13.8125;
3.79579e+06;18.3883;13.8843;
3.80454e+06;18.7729;13.9554;
3.81331e+06;19.1653;14.0258;
3.8221e+06;19.5654;14.0952;
3.83091e+06;19.9733;14.1635;
3.83975e+06;20.3888;14.2308;
3.8486e+06;20.8117;14.2967;
3.85747e+06;21.2415;14.3612;
3.86636e+06;21.6777;14.4242;
3.87527e+06;22.1192;14.4855;
3.88421e+06;22.5647;14.5449;
3.89316e+06;23.0124;14.6024;
3.90214e+06;23.4598;14.6576;
3.91113e+06;23.9038;14.7106;
3.92015e+06;24.3402;14.7611;
3.92919e+06;24.7638;14.8089;
3.93824e+06;25.1684;14.8539;
3.94732e+06;25.5466;14.896;
3.95642e+06;25.8897;14.9351;
3.96554e+06;26.1887;14.9709;
3.97468e+06;26.4342;15.0034;
3.98385e+06;26.6179;15.0324;
3.99303e+06;26.7329;15.0579;
4.00223e+06;26.7748;15.0797;
4.01146e+06;26.7428;15.0976;
4.02071e+06;26.6389;15.1117;
4.02998e+06;26.4686;15.1216;
4.03927e+06;26.2391;15.1273;
4.04858e+06;25.9592;15.1286;
4.05791e+06;25.6379;15.1254;
4.06727e+06;25.284;15.1175;
4.07664e+06;24.9051;15.105;
4.08604e+06;24.5081;15.0877;
4.09546e+06;24.0986;15.0656;
4.1049e+06;23.681;15.0386;
4.11436e+06;23.2588;15.0068;
4.12385e+06;22.8349;14.9701;
4.13335e+06;22.4111;14.9287;
4.14288e+06;21.9891;14.8825;
4.15243e+06;21.5698;14.8316;
4.162e+06;21.154;14.7762;
4.1716e+06;20.7423;14.7162;
4.18122e+06;20.3349;14.6518;
4.19085e+06;19.9319;14.5831;
4.20051e+06;19.5336;14.5103;
4.2102e+06;19.1398;14.4334;
4.2199e+06;18.7506;14.3526;
4.22963e+06;18.3659;14.2681;
4.23938e+06;17.9856;14.1801;
4.24915e+06;17.6096;14.0886;
4.25895e+06;17.2377;13.9938;
4.26877e+06;16.87;13.8959;
4.27861e+06;16.5062;13.7952;
4.28847e+06;16.1462;13.6916;
4.29836e+06;15.7901;13.5855;
4.30827e+06;15.4376;13.4769;
4.3182e+06;15.0887;13.366;
4.32815e+06;14.7434;13.253;
4.33813e+06;14.4014;13.1381;
4.34813e+06;14.0629;13.0213;
4.35815e+06;13.7277;12.9029;
4.3682e+06;13.3958;12.7829;
4.37827e+06;13.0671;12.6615;
4.38836e+06;12.7415;12.5389;
4.39848e+06;12.4191;12.4151;
