frequency;user0 (gain);user3 (gain)
28850000.0;-18.1021603913143;31.807170672659247
28852768.03194569;-18.021201975422464;31.88837461951777
28855536.32947199;-17.940300992127888;31.969521099764627
28858304.8926044;-17.859490887789057;32.05057666704415
28861073.72136838;-17.77880695003426;32.13150603373062
28863842.81578944;-17.698286370927143;32.21227200776337
28866612.17589306;-17.61796830172011;32.29283543789225
28869381.80170473;-17.537893917554356;32.37315514897817
28872151.69324994;-17.458106462578236;32.453187896875995
28874921.85055419;-17.3786513032374;32.532888315143495
28877692.27364298;-17.299575977792784;32.6122088655212
28880462.9625418;-17.220930233029605;32.69109980122682
28883233.91727617;-17.142766058958344;32.76950913225262
28886005.13787159;-17.065137721231352;32.84738259294873
28888776.62435356;-16.988101776230458;32.924663626936194
28891548.3767476;-16.911717085662644;33.00129337250943
28894320.39507922;-16.836044814500212;33.077210664701006
28897092.67937393;-16.76114842220966;33.152352044045216
28899865.22965726;-16.687093644136837;33.22665177519898
28902638.04595472;-16.613948444268242;33.30004189417966
28905411.12829183;-16.541782973893643;33.37245224969882
28908184.47669413;-16.470669504439364;33.44381057033315
28910958.09118714;-16.400682331879786;33.5140425601121
28913731.97179639;-16.331897685228338;33.583071990022184
28916506.11854741;-16.264393598290066;33.65082082626359
28919280.53146574;-16.198249769148283;33.717209370752926
28922055.21057691;-16.13354738877745;33.782156432521624
28924830.15590647;-16.07036896390991;33.84557950483841
28927605.36747996;-16.0087981000958;33.907394982154784
28930380.84532292;-15.948919275213049;33.96751838659687
28933156.5894609;-15.890817575728589;34.02586463169945
28935932.59991945;-15.834578430971344;34.08234828813717
28938708.87672412;-15.78028730804517;34.136883888807944
28941485.41990047;-15.728029386719538;34.18938625394482
28944262.22947406;-15.67788922575502;34.23977082479031
28947039.30547043;-15.629950405164752;34.287954021333775
28949816.64791517;-15.584295143078176;34.33385362544891
28952594.25683382;-15.541003922231502;34.37738915440151
28955372.13225196;-15.500155085891109;34.41848226492842
28958150.27419516;-15.461824428472468;34.45705716261492
28960928.68268899;-15.42608479509473;34.49304100234699
28963707.35775902;-15.393005672356576;34.526364297528225
28966486.29943084;-15.362652783452774;34.556961324964306
28969265.50773001;-15.335087696424953;34.584770516618086
28972044.98268212;-15.310367450171663;34.60973483359353
28974824.72431276;-15.288544182901926;34.631802137683245
28977604.73264751;-15.269664804433464;34.65092551907384
28980385.00771197;-15.253770673062775;34.66706361947033
28983165.54953171;-15.240897336693259;34.68018089097107
28985946.35813234;-15.231074270218192;34.690247858687215
28988727.43353945;-15.224324675451438;34.69724132080692
28991508.77577865;-15.220665330814391;34.70114449890979
