frequency;user0 (gain);user3 (gain);
1.9e+07;-36.9277;11.4531;
1.90219e+07;-36.8518;11.5338;
1.90438e+07;-36.7749;11.6155;
1.90657e+07;-36.6971;11.6981;
1.90877e+07;-36.6182;11.7818;
1.91097e+07;-36.5382;11.8665;
1.91317e+07;-36.4573;11.9523;
1.91537e+07;-36.3752;12.0391;
1.91758e+07;-36.292;12.1271;
1.91979e+07;-36.2077;12.2161;
1.922e+07;-36.1223;12.3063;
1.92422e+07;-36.0356;12.3977;
1.92643e+07;-35.9478;12.4903;
1.92865e+07;-35.8587;12.5842;
1.93087e+07;-35.7683;12.6793;
1.9331e+07;-35.6766;12.7757;
1.93532e+07;-35.5836;12.8734;
1.93755e+07;-35.4893;12.9725;
1.93979e+07;-35.3935;13.073;
1.94202e+07;-35.2963;13.1749;
1.94426e+07;-35.1976;13.2782;
1.9465e+07;-35.0974;13.3831;
1.94874e+07;-34.9957;13.4895;
1.95098e+07;-34.8924;13.5976;
1.95323e+07;-34.7874;13.7072;
1.95548e+07;-34.6807;13.8185;
1.95773e+07;-34.5724;13.9316;
1.95999e+07;-34.4622;14.0464;
1.96225e+07;-34.3502;14.163;
1.96451e+07;-34.2364;14.2815;
1.96677e+07;-34.1206;14.402;
1.96904e+07;-34.0028;14.5244;
1.9713e+07;-33.8829;14.6489;
1.97357e+07;-33.7609;14.7755;
1.97585e+07;-33.6368;14.9042;
1.97812e+07;-33.5104;15.0353;
1.9804e+07;-33.3816;15.1686;
1.98268e+07;-33.2505;15.3044;
1.98497e+07;-33.1169;15.4426;
1.98726e+07;-32.9807;15.5834;
1.98954e+07;-32.8418;15.7268;
1.99184e+07;-32.7002;15.873;
1.99413e+07;-32.5558;16.022;
1.99643e+07;-32.4084;16.174;
1.99873e+07;-32.2579;16.329;
2.00103e+07;-32.1043;16.4872;
2.00334e+07;-31.9473;16.6486;
2.00564e+07;-31.787;16.8135;
2.00795e+07;-31.6231;16.982;
2.01027e+07;-31.4554;17.1542;
2.01258e+07;-31.284;17.3302;
2.0149e+07;-31.1085;17.5102;
2.01722e+07;-30.9288;17.6944;
2.01955e+07;-30.7447;17.8829;
2.02187e+07;-30.5561;18.0761;
2.0242e+07;-30.3627;18.274;
2.02653e+07;-30.1643;18.4769;
2.02887e+07;-29.9606;18.685;
2.0312e+07;-29.7515;18.8986;
2.03354e+07;-29.5366;19.118;
2.03589e+07;-29.3156;19.3434;
2.03823e+07;-29.0883;19.5752;
2.04058e+07;-28.8543;19.8136;
2.04293e+07;-28.6132;20.0592;
2.04528e+07;-28.3646;20.3122;
2.04764e+07;-28.1082;20.5731;
2.05e+07;-27.8434;20.8423;
2.05236e+07;-27.5698;21.1203;
2.05472e+07;-27.2868;21.4077;
2.05709e+07;-26.9938;21.7051;
2.05946e+07;-26.6903;22.0131;
2.06183e+07;-26.3754;22.3323;
2.06421e+07;-26.0486;22.6636;
2.06659e+07;-25.7089;23.0077;
2.06897e+07;-25.3554;23.3655;
2.07135e+07;-24.9873;23.738;
2.07374e+07;-24.6034;24.1263;
2.07613e+07;-24.2027;24.5314;
2.07852e+07;-23.7839;24.9545;
2.08091e+07;-23.3459;25.3969;
2.08331e+07;-22.8873;25.8598;
2.08571e+07;-22.4067;26.3447;
2.08811e+07;-21.903;26.8527;
2.09052e+07;-21.3751;27.385;
2.09292e+07;-20.8222;27.9422;
2.09534e+07;-20.2443;28.5245;
2.09775e+07;-19.6422;29.1309;
2.10017e+07;-19.0186;29.7588;
2.10259e+07;-18.379;30.4027;
2.10501e+07;-17.7329;31.0531;
2.10743e+07;-17.096;31.6943;
2.10986e+07;-16.4917;32.3028;
2.11229e+07;-15.9529;32.8459;
2.11472e+07;-15.5204;33.2827;
2.11716e+07;-15.2374;33.57;
2.1196e+07;-15.1389;33.6727;
2.12204e+07;-15.2398;33.5761;
2.12448e+07;-15.5287;33.2914;
2.12693e+07;-15.9729;32.8515;
2.12938e+07;-16.5295;32.2991;
2.13184e+07;-17.1569;31.676;
2.13429e+07;-17.821;31.0161;
2.13675e+07;-18.497;30.3443;
2.13921e+07;-19.1683;29.6772;
2.14168e+07;-19.8247;29.0251;
2.14414e+07;-20.4602;28.3938;
2.14661e+07;-21.0717;27.7864;
2.14909e+07;-21.6583;27.204;
2.15156e+07;-22.2198;26.6467;
2.15404e+07;-22.757;26.1137;
2.15652e+07;-23.2708;25.6041;
2.159e+07;-23.7626;25.1165;
2.16149e+07;-24.2335;24.6497;
2.16398e+07;-24.6851;24.2023;
2.16647e+07;-25.1184;23.7732;
2.16897e+07;-25.5347;23.361;
2.17147e+07;-25.9351;22.9648;
2.17397e+07;-26.3207;22.5833;
2.17647e+07;-26.6924;22.2157;
2.17898e+07;-27.0511;21.8611;
2.18149e+07;-27.3978;21.5186;
2.184e+07;-27.733;21.1875;
2.18652e+07;-28.0575;20.867;
2.18904e+07;-28.372;20.5566;
2.19156e+07;-28.6771;20.2557;
2.19409e+07;-28.9732;19.9637;
2.19661e+07;-29.2609;19.68;
2.19914e+07;-29.5407;19.4043;
2.20168e+07;-29.8129;19.1361;
2.20421e+07;-30.0781;18.8751;
2.20675e+07;-30.3365;18.6208;
2.20929e+07;-30.5884;18.3729;
2.21184e+07;-30.8343;18.131;
2.21439e+07;-31.0744;17.895;
2.21694e+07;-31.3089;17.6645;
2.21949e+07;-31.5382;17.4393;
2.22205e+07;-31.7624;17.2191;
2.22461e+07;-31.9818;17.0037;
2.22717e+07;-32.1967;16.7928;
2.22974e+07;-32.4071;16.5864;
2.23231e+07;-32.6133;16.3842;
2.23488e+07;-32.8155;16.186;
2.23745e+07;-33.0138;15.9917;
2.24003e+07;-33.2084;15.8011;
2.24261e+07;-33.3994;15.6141;
2.24519e+07;-33.587;15.4305;
2.24778e+07;-33.7712;15.2502;
2.25037e+07;-33.9523;15.0732;
2.25296e+07;-34.1302;14.8991;
2.25556e+07;-34.3053;14.7281;
2.25815e+07;-34.4774;14.5599;
2.26076e+07;-34.6468;14.3944;
