frequency;user0 (gain);user3 (gain)
28970000.0;71.26063842635632;39.748845762307795
28970444.70934756;71.279561109493;39.75944934947162
28970889.42552171;71.29823011865311;39.769791732550196
28971334.14852256;71.31664334363175;39.779870788589506
28971778.87835021;71.33479870270281;39.78968442326766
28972223.61500477;71.35269414398209;39.79923057171372
28972668.35848634;71.37032766259725;39.80850721601775
28973113.10879503;71.3876972879336;39.8175123729104
28973557.86593094;71.40480109263876;39.82624410212
28974002.62989417;71.42163719953658;39.83470051373689
28974447.40068484;71.43820375857933;39.84287974438985
28974892.17830305;71.4544989734112;39.85077998491274
28975336.9627489;71.4705210886635;39.858399467106615
28975781.75402249;71.48626840090783;39.865736474132376
28976226.55212393;71.50173925256115;39.87278933568528
28976671.35705333;71.5169320297974;39.87955642448712
28977116.16881079;71.53184517581;39.88603617074814
28977560.98739642;71.54647717821442;39.89222704893721
28978005.81281031;71.56082657508918;39.89812758428745
28978450.64505258;71.57489196675573;39.9037363631715
28978895.48412333;71.58867199514917;39.909052014605486
28979340.33002266;71.6021653656927;39.91407323092681
28979785.18275068;71.61537083266789;39.91879875252673
28980230.0423075;71.62828721049806;39.92322738142896
28980674.90869322;71.64091336721887;39.92735797132029
28981119.78190793;71.65324823306344;39.931189439594355
28981564.66195176;71.66529078818672;39.934720752570506
28982009.5488248;71.67704008309543;39.93795094748476
28982454.44252716;71.68849522403374;39.94087911725531
28982899.34305895;71.69965536798263;39.94350440493268
28983344.25042026;71.71051974806565;39.94582603046439
28983789.1646112;71.7210876429551;39.947843258705234
28984234.08563188;71.7313584044107;39.94955542760597
28984679.01348241;71.7413314502349;39.950961941298466
28985123.94816288;71.75100624545064;39.95206225185869
28985568.88967341;71.76038233456745;39.95285588912251
28986013.83801409;71.76945931265826;39.9533424347714
28986458.79318503;71.77823684786178;39.95352154335071
28986903.75518634;71.78671466547368;39.95339292591902
28987348.72401812;71.79489255908803;39.95295636262243
28987793.69968048;71.80277038669823;39.95221169716874
28988238.68217352;71.81034807001663;39.951158837911336
28988683.67149734;71.81762559538042;39.94979775647966
28989128.66765206;71.8246030051904;39.948128481639095
28989573.67063777;71.83128043053722;39.94615113027209
28990018.68045458;71.8376580347318;39.94386585242979
28990463.6971026;71.8437360691297;39.941272884398565
28990908.72058192;71.84951483954362;39.93837251843398
28991353.75089267;71.85499472071032;39.93516511475385
28991798.78803493;71.86017614053634;39.93165108744336
28992243.83200882;71.86505960508757;39.92783092797232
28992688.88281443;71.86964567428178;39.92370518257524
28993133.94045189;71.87393497261797;39.919274460697
28993579.00492128;71.87792818312198;39.91453943141996
28994024.07622272;71.88162605610076;39.90950083069934
28994469.1543563;71.88502940307649;39.90415945567378
28994914.23932214;71.88813908904532;39.89851615709971
28995359.33112035;71.89095604465747;39.89257185097786
28995804.42975101;71.89348126656748;39.88632751928974
28996249.53521424;71.89571579584617;39.87978418875343
