frequency;user0 (gain);user3 (gain);
3e+06;-23.866;7.42072;
3.00692e+06;-23.8543;7.43936;
3.01385e+06;-23.8426;7.45804;
3.0208e+06;-23.8309;7.47676;
3.02776e+06;-23.8191;7.4955;
3.03474e+06;-23.8072;7.51428;
3.04173e+06;-23.7953;7.53308;
3.04875e+06;-23.7834;7.55189;
3.05577e+06;-23.7714;7.57073;
3.06282e+06;-23.7594;7.58958;
3.06988e+06;-23.7473;7.60843;
3.07696e+06;-23.7353;7.62729;
3.08405e+06;-23.7232;7.64615;
3.09116e+06;-23.7111;7.665;
3.09828e+06;-23.6989;7.68384;
3.10543e+06;-23.6868;7.70267;
3.11259e+06;-23.6747;7.72148;
3.11976e+06;-23.6626;7.74026;
3.12695e+06;-23.6504;7.75901;
3.13416e+06;-23.6383;7.77773;
3.14139e+06;-23.6262;7.7964;
3.14863e+06;-23.6142;7.81503;
3.15589e+06;-23.6022;7.83361;
3.16316e+06;-23.5902;7.85213;
3.17045e+06;-23.5782;7.87058;
3.17776e+06;-23.5663;7.88896;
3.18509e+06;-23.5545;7.90726;
3.19243e+06;-23.5427;7.92548;
3.19979e+06;-23.531;7.94361;
3.20716e+06;-23.5193;7.96164;
3.21456e+06;-23.5078;7.97956;
3.22197e+06;-23.4963;7.99737;
3.2294e+06;-23.485;8.01507;
3.23684e+06;-23.4737;8.03263;
3.2443e+06;-23.4626;8.05006;
3.25178e+06;-23.4516;8.06735;
3.25928e+06;-23.4407;8.08449;
3.26679e+06;-23.4299;8.10146;
3.27432e+06;-23.4193;8.11827;
3.28187e+06;-23.4089;8.13491;
3.28943e+06;-23.3986;8.15135;
3.29702e+06;-23.3885;8.16761;
3.30462e+06;-23.3785;8.18366;
3.31224e+06;-23.3688;8.1995;
3.31987e+06;-23.3593;8.21511;
3.32752e+06;-23.35;8.2305;
3.3352e+06;-23.3408;8.24564;
3.34288e+06;-23.332;8.26054;
3.35059e+06;-23.3233;8.27517;
3.35831e+06;-23.315;8.28953;
3.36606e+06;-23.3068;8.3036;
3.37381e+06;-23.299;8.31739;
3.38159e+06;-23.2914;8.33087;
3.38939e+06;-23.2842;8.34404;
3.3972e+06;-23.2772;8.35688;
3.40503e+06;-23.2705;8.36939;
3.41288e+06;-23.2642;8.38155;
3.42075e+06;-23.2582;8.39335;
3.42864e+06;-23.2526;8.40478;
3.43654e+06;-23.2473;8.41583;
3.44446e+06;-23.2424;8.42648;
3.4524e+06;-23.2379;8.43673;
3.46036e+06;-23.2338;8.44656;
3.46834e+06;-23.2301;8.45596;
3.47633e+06;-23.2268;8.46492;
3.48435e+06;-23.224;8.47343;
3.49238e+06;-23.2216;8.48147;
3.50043e+06;-23.2196;8.48904;
3.5085e+06;-23.2182;8.49611;
3.51659e+06;-23.2172;8.50268;
3.52469e+06;-23.2167;8.50874;
3.53282e+06;-23.2167;8.51427;
3.54096e+06;-23.2172;8.51926;
3.54912e+06;-23.2183;8.5237;
