frequency;user0 (gain);user3 (gain);
3e+06;4.43208;7.42089;
3.00692e+06;4.57876;7.43953;
3.01385e+06;4.72726;7.4582;
3.0208e+06;4.87761;7.4769;
3.02776e+06;5.02986;7.49564;
3.03474e+06;5.18407;7.5144;
3.04173e+06;5.34028;7.53318;
3.04875e+06;5.49854;7.55199;
3.05577e+06;5.65892;7.57081;
3.06282e+06;5.82147;7.58965;
3.06988e+06;5.98625;7.60849;
3.07696e+06;6.15333;7.62733;
3.08405e+06;6.32277;7.64617;
3.09116e+06;6.49465;7.66501;
3.09828e+06;6.66902;7.68383;
3.10543e+06;6.84598;7.70264;
3.11259e+06;7.0256;7.72143;
3.11976e+06;7.20795;7.74019;
3.12695e+06;7.39313;7.75892;
3.13416e+06;7.58123;7.77761;
3.14139e+06;7.77234;7.79626;
3.14863e+06;7.96656;7.81486;
3.15589e+06;8.16399;7.83341;
3.16316e+06;8.36474;7.8519;
3.17045e+06;8.56893;7.87032;
3.17776e+06;8.77666;7.88866;
3.18509e+06;8.98806;7.90693;
3.19243e+06;9.20326;7.9251;
3.19979e+06;9.42239;7.94319;
3.20716e+06;9.64559;7.96117;
3.21456e+06;9.87301;7.97905;
3.22197e+06;10.1048;7.9968;
3.2294e+06;10.3411;8.01444;
3.23684e+06;10.5821;8.03194;
3.2443e+06;10.8279;8.0493;
3.25178e+06;11.0787;8.06651;
3.25928e+06;11.3347;8.08357;
3.26679e+06;11.5961;8.10046;
3.27432e+06;11.863;8.11717;
3.28187e+06;12.1356;8.1337;
3.28943e+06;12.4141;8.15003;
3.29702e+06;12.6986;8.16616;
3.30462e+06;12.9893;8.18207;
3.31224e+06;13.2863;8.19775;
3.31987e+06;13.5896;8.2132;
3.32752e+06;13.8995;8.2284;
3.3352e+06;14.2159;8.24334;
3.34288e+06;14.5386;8.25801;
3.35059e+06;14.8677;8.27239;
3.35831e+06;15.2029;8.28648;
3.36606e+06;15.5438;8.30025;
3.37381e+06;15.8897;8.3137;
3.38159e+06;16.2401;8.32681;
3.38939e+06;16.5937;8.33957;
3.3972e+06;16.9493;8.35197;
3.40503e+06;17.305;8.36398;
3.41288e+06;17.6586;8.37561;
3.42075e+06;18.0072;8.38683;
3.42864e+06;18.3473;8.39765;
3.43654e+06;18.6748;8.40805;
3.44446e+06;18.9849;8.41804;
3.4524e+06;19.2721;8.42762;
3.46036e+06;19.5305;8.43679;
3.46834e+06;19.7538;8.44558;
3.47633e+06;19.9362;8.45399;
3.48435e+06;20.0721;8.46205;
3.49238e+06;20.1572;8.46976;
3.50043e+06;20.1889;8.47714;
3.5085e+06;20.1662;8.48418;
3.51659e+06;20.0903;8.49087;
3.52469e+06;19.9641;8.49718;
3.53282e+06;19.792;8.50307;
3.54096e+06;19.5796;8.50852;
3.54912e+06;19.3328;8.51349;
3.55731e+06;19.0578;8.51793;
3.56551e+06;18.7604;8.52181;
3.57373e+06;18.4461;8.5251;
3.58196e+06;18.1196;8.52778;
3.59022e+06;17.7848;8.52982;
3.5985e+06;17.4452;8.53122;
3.60679e+06;17.1035;8.53194;
