frequency_hz,ant_to_out_db
3111869,-10.5657
3112227,-10.5652
3112585,-10.5646
3112944,-10.5641
3113302,-10.5635
3113660,-10.5629
3114019,-10.5624
3114378,-10.5618
3114736,-10.5613
3115095,-10.5607
3115453,-10.5602
3115812,-10.5596
3116171,-10.5590
3116530,-10.5585
3116888,-10.5579
3117247,-10.5573
3117606,-10.5568
3117965,-10.5562
3118324,-10.5556
3118683,-10.5551
3119042,-10.5545
3119401,-10.5539
3119760,-10.5534
3120120,-10.5528
3120479,-10.5522
3120838,-10.5517
3121198,-10.5511
3121557,-10.5505
3121916,-10.5499
3122276,-10.5494
3122635,-10.5488
3122995,-10.5482
3123354,-10.5476
3123714,-10.5471
3124074,-10.5465
3124433,-10.5459
3124793,-10.5453
3125153,-10.5447
3125513,-10.5442
3125872,-10.5436
3126232,-10.5430
3126592,-10.5424
3126952,-10.5418
3127312,-10.5412
3127672,-10.5407
3128032,-10.5401
3128393,-10.5395
3128753,-10.5389
3129113,-10.5383
3129473,-10.5377
3129834,-10.5371
3130194,-10.5365
3130554,-10.5359
3130915,-10.5353
3131275,-10.5347
3131636,-10.5342
3131996,-10.5336
3132357,-10.5330
3132718,-10.5324
3133078,-10.5318
3133439,-10.5312
3133800,-10.5306
3134161,-10.5300
3134522,-10.5294
3134882,-10.5288
3135243,-10.5282
3135604,-10.5276
3135965,-10.5270
3136326,-10.5263
3136688,-10.5257
3137049,-10.5251
3137410,-10.5245
3137771,-10.5239
3138132,-10.5233
3138494,-10.5227
3138855,-10.5221
3139216,-10.5215
3139578,-10.5209
3139939,-10.5203
3140301,-10.5196
3140662,-10.5190
3141024,-10.5184
3141386,-10.5178
3141747,-10.5172
3142109,-10.5166
3142471,-10.5159
3142833,-10.5153
3143194,-10.5147
3143556,-10.5141
3143918,-10.5135
3144280,-10.5128
3144642,-10.5122
3145004,-10.5116
3145366,-10.5110
3145729,-10.5103
3146091,-10.5097
3146453,-10.5091
3146815,-10.5085
3147178,-10.5078
3147540,-10.5072
3147902,-10.5066
3148265,-10.5060
3148627,-10.5053
3148990,-10.5047
3149352,-10.5041
3149715,-10.5034
3150078,-10.5028
3150440,-10.5022
3150803,-10.5015
3151166,-10.5009
3151529,-10.5002
3151891,-10.4996
3152254,-10.4990
3152617,-10.4983
3152980,-10.4977
3153343,-10.4970
3153706,-10.4964
3154069,-10.4958
3154433,-10.4951
3154796,-10.4945
3155159,-10.4938
3155522,-10.4932
3155886,-10.4925
3156249,-10.4919
3156612,-10.4912
3156976,-10.4906
3157339,-10.4899
3157703,-10.4893
3158066,-10.4886
3158430,-10.4880
3158794,-10.4873
3159157,-10.4867
3159521,-10.4860
3159885,-10.4854
3160249,-10.4847
3160613,-10.4841
3160976,-10.4834
3161340,-10.4827
3161704,-10.4821
3162068,-10.4814
3162432,-10.4808
3162797,-10.4801
3163161,-10.4794
3163525,-10.4788
3163889,-10.4781
3164253,-10.4775
