frequency_hz,ant_to_out_db
8000000,-9.9854
8000921,-9.9839
8001842,-9.9824
8002764,-9.9808
8003685,-9.9793
8004606,-9.9778
8005528,-9.9763
8006450,-9.9748
8007372,-9.9733
8008294,-9.9718
8009216,-9.9702
8010138,-9.9687
8011060,-9.9672
8011982,-9.9657
8012905,-9.9642
8013827,-9.9627
8014750,-9.9611
8015673,-9.9596
8016596,-9.9581
8017519,-9.9566
8018442,-9.9551
8019365,-9.9536
8020288,-9.9520
8021212,-9.9505
8022135,-9.9490
8023059,-9.9475
8023983,-9.9460
8024907,-9.9445
8025831,-9.9429
8026755,-9.9414
8027679,-9.9399
8028603,-9.9384
8029527,-9.9369
8030452,-9.9353
8031377,-9.9338
8032301,-9.9323
8033226,-9.9308
8034151,-9.9293
8035076,-9.9277
8036001,-9.9262
8036926,-9.9247
8037852,-9.9232
8038777,-9.9217
8039703,-9.9201
8040628,-9.9186
8041554,-9.9171
8042480,-9.9156
8043406,-9.9140
8044332,-9.9125
8045258,-9.9110
8046185,-9.9095
8047111,-9.9079
8048037,-9.9064
8048964,-9.9049
8049891,-9.9034
8050818,-9.9019
8051745,-9.9003
8052672,-9.8988
8053599,-9.8973
8054526,-9.8957
8055453,-9.8942
8056381,-9.8927
8057308,-9.8912
8058236,-9.8896
8059164,-9.8881
8060092,-9.8866
8061020,-9.8851
8061948,-9.8835
8062876,-9.8820
8063804,-9.8805
8064733,-9.8790
8065661,-9.8774
8066590,-9.8759
8067519,-9.8744
8068448,-9.8728
8069377,-9.8713
8070306,-9.8698
8071235,-9.8682
8072164,-9.8667
8073094,-9.8652
8074023,-9.8637
8074953,-9.8621
8075882,-9.8606
8076812,-9.8591
8077742,-9.8575
8078672,-9.8560
8079602,-9.8545
8080533,-9.8529
8081463,-9.8514
8082393,-9.8499
8083324,-9.8483
8084255,-9.8468
8085185,-9.8453
8086116,-9.8437
8087047,-9.8422
8087978,-9.8407
8088910,-9.8391
8089841,-9.8376
8090772,-9.8361
8091704,-9.8345
8092636,-9.8330
8093567,-9.8315
8094499,-9.8299
8095431,-9.8284
8096363,-9.8269
8097295,-9.8253
8098228,-9.8238
8099160,-9.8222
8100093,-9.8207
8101025,-9.8192
8101958,-9.8176
8102891,-9.8161
8103824,-9.8146
8104757,-9.8130
8105690,-9.8115
8106623,-9.8099
8107557,-9.8084
8108490,-9.8069
8109424,-9.8053
8110357,-9.8038
8111291,-9.8022
8112225,-9.8007
8113159,-9.7992
8114093,-9.7976
8115027,-9.7961
8115962,-9.7945
8116896,-9.7930
8117831,-9.7915
8118765,-9.7899
8119700,-9.7884
8120635,-9.7868
8121570,-9.7853
8122505,-9.7838
8123440,-9.7822
8124375,-9.7807
8125311,-9.7791
8126246,-9.7776
8127182,-9.7760
8128118,-9.7745
8129054,-9.7730
8129990,-9.7714
8130926,-9.7699
8131862,-9.7683
8132798,-9.7668
8133734,-9.7652
8134671,-9.7637
8135607,-9.7621
8136544,-9.7606
8137481,-9.7590
8138418,-9.7575
8139355,-9.7560
8140292,-9.7544
8141229,-9.7529
8142167,-9.7513
8143104,-9.7498
8144042,-9.7482
8144979,-9.7467
8145917,-9.7451
8146855,-9.7436
8147793,-9.7420
8148731,-9.7405
8149669,-9.7389
8150608,-9.7374
8151546,-9.7358
8152485,-9.7343
8153423,-9.7327
8154362,-9.7312
8155301,-9.7296
8156240,-9.7281
8157179,-9.7265
8158118,-9.7250
8159057,-9.7234
8159997,-9.7219
8160936,-9.7203
8161876,-9.7188
8162816,-9.7172
8163755,-9.7157
8164695,-9.7141
8165635,-9.7126
8166576,-9.7110
8167516,-9.7094
8168456,-9.7079
8169397,-9.7063
8170337,-9.7048
8171278,-9.7032
8172219,-9.7017
8173160,-9.7001
8174101,-9.6986
8175042,-9.6970
8175983,-9.6954
8176924,-9.6939
8177866,-9.6923
8178808,-9.6908
8179749,-9.6892
8180691,-9.6877
8181633,-9.6861
8182575,-9.6846
8183517,-9.6830
8184459,-9.6814
8185402,-9.6799
8186344,-9.6783
8187286,-9.6768
8188229,-9.6752
8189172,-9.6736
8190115,-9.6721
8191058,-9.6705
8192001,-9.6690
8192944,-9.6674
8193887,-9.6658
8194831,-9.6643
8195774,-9.6627
8196718,-9.6612
8197662,-9.6596
8198605,-9.6580
8199549,-9.6565
8200493,-9.6549
8201438,-9.6534
8202382,-9.6518
8203326,-9.6502
8204271,-9.6487
8205215,-9.6471
8206160,-9.6455
8207105,-9.6440
8208050,-9.6424
8208995,-9.6409
8209940,-9.6393
8210885,-9.6377
8211831,-9.6362
8212776,-9.6346
8213722,-9.6330
8214667,-9.6315
8215613,-9.6299
8216559,-9.6283
8217505,-9.6268
8218451,-9.6252
8219398,-9.6236
8220344,-9.6221
8221290,-9.6205
8222237,-9.6189
8223184,-9.6174
8224130,-9.6158
8225077,-9.6142
8226024,-9.6127
8226971,-9.6111
8227919,-9.6095
8228866,-9.6080
8229813,-9.6064
8230761,-9.6048
8231709,-9.6032
8232656,-9.6017
8233604,-9.6001
8234552,-9.5985
8235500,-9.5970
8236448,-9.5954
8237397,-9.5938
8238345,-9.5922
8239294,-9.5907
8240242,-9.5891
8241191,-9.5875
8242140,-9.5860
8243089,-9.5844
8244038,-9.5828
8244987,-9.5812
8245937,-9.5797
8246886,-9.5781
8247835,-9.5765
8248785,-9.5749
8249735,-9.5734
8250685,-9.5718
8251635,-9.5702
8252585,-9.5687
8253535,-9.5671
8254485,-9.5655
8255435,-9.5639
8256386,-9.5623
8257337,-9.5608
8258287,-9.5592
8259238,-9.5576
8260189,-9.5560
8261140,-9.5545
8262091,-9.5529
8263043,-9.5513
8263994,-9.5497
8264945,-9.5482
8265897,-9.5466
8266849,-9.5450
8267800,-9.5434
8268752,-9.5418
8269704,-9.5403
8270657,-9.5387
8271609,-9.5371
8272561,-9.5355
8273514,-9.5339
8274466,-9.5324
8275419,-9.5308
8276372,-9.5292
8277325,-9.5276
8278278,-9.5260
8279231,-9.5245
8280184,-9.5229
8281137,-9.5213
8282091,-9.5197
8283044,-9.5181
8283998,-9.5165
8284952,-9.5150
8285906,-9.5134
8286860,-9.5118
8287814,-9.5102
8288768,-9.5086
8289722,-9.5070
8290677,-9.5055
8291631,-9.5039
8292586,-9.5023
8293541,-9.5007
8294496,-9.4991
8295451,-9.4975
8296406,-9.4959
8297361,-9.4944
8298316,-9.4928
8299272,-9.4912
8300227,-9.4896
8301183,-9.4880
8302139,-9.4864
8303095,-9.4848
8304051,-9.4833
8305007,-9.4817
8305963,-9.4801
8306919,-9.4785
8307876,-9.4769
8308832,-9.4753
8309789,-9.4737
8310746,-9.4721
8311702,-9.4705
8312659,-9.4689
8313616,-9.4674
8314574,-9.4658
8315531,-9.4642
8316488,-9.4626
8317446,-9.4610
8318404,-9.4594
8319361,-9.4578
8320319,-9.4562
8321277,-9.4546
8322235,-9.4530
8323193,-9.4514
8324152,-9.4499
8325110,-9.4483
8326069,-9.4467
8327027,-9.4451
8327986,-9.4435
8328945,-9.4419
8329904,-9.4403
8330863,-9.4387
