c7_pf,predicted_null_hz,null_hz,depth_vs_no_trap_db,depth_vs_neighbours_db,width_3db_hz,gain_at_null_db,attenuation_at_9mhz_db,null_usable,grid_step_hz
5.0,14235250.868343541,14230536.0,25.227100000000004,19.99741118962801,112775.60208996013,-49.3391,1.2286000000000001,1.0,1638.0
10.0,11623033.662650945,11619067.0,24.4386,20.302264945676523,112924.49781181663,-39.9636,2.5564548262548263,1.0,1338.0
15.0,10065842.420897407,10061697.0,24.4819,20.503991144974364,113015.24102417938,-32.22,5.6329864864864865,1.0,1159.0
20.0,9003163.161571061,8999560.0,25.3639,20.75607153033633,113127.28163416311,-24.9957,25.362923166023165,1.0,1036.0
30.0,7609061.652016825,7601884.0,32.8956,25.39262494176102,117734.45991669316,-8.2661,-12.103619691119691,1.0,876.0
45.0,6366197.7236758135,6382212.0,15.9689,15.972743909224173,138654.9112637369,0.1443,-5.186813513513513,1.0,735.0
60.0,5583524.766044027,5588835.0,2.7486,1.9295604200240506,nan,1.2504,-3.968208108108108,0.0,643.0
