frequency_hz,ant_to_out_db
3111869,-10.4901
3112227,-10.4895
3112585,-10.4890
3112944,-10.4884
3113302,-10.4878
3113660,-10.4873
3114019,-10.4867
3114378,-10.4862
3114736,-10.4856
3115095,-10.4850
3115453,-10.4845
3115812,-10.4839
3116171,-10.4833
3116530,-10.4828
3116888,-10.4822
3117247,-10.4816
3117606,-10.4811
3117965,-10.4805
3118324,-10.4799
3118683,-10.4793
3119042,-10.4788
3119401,-10.4782
3119760,-10.4776
3120120,-10.4770
3120479,-10.4765
3120838,-10.4759
3121198,-10.4753
3121557,-10.4747
3121916,-10.4742
3122276,-10.4736
3122635,-10.4730
3122995,-10.4724
3123354,-10.4718
3123714,-10.4712
3124074,-10.4707
3124433,-10.4701
3124793,-10.4695
3125153,-10.4689
3125513,-10.4683
3125872,-10.4677
3126232,-10.4671
3126592,-10.4666
3126952,-10.4660
3127312,-10.4654
3127672,-10.4648
3128032,-10.4642
3128393,-10.4636
3128753,-10.4630
3129113,-10.4624
3129473,-10.4618
3129834,-10.4612
3130194,-10.4606
3130554,-10.4600
3130915,-10.4594
3131275,-10.4588
3131636,-10.4582
3131996,-10.4576
3132357,-10.4570
3132718,-10.4564
3133078,-10.4558
3133439,-10.4552
3133800,-10.4546
3134161,-10.4540
3134522,-10.4534
3134882,-10.4528
3135243,-10.4522
3135604,-10.4516
3135965,-10.4510
3136326,-10.4503
3136688,-10.4497
3137049,-10.4491
3137410,-10.4485
3137771,-10.4479
3138132,-10.4473
3138494,-10.4467
3138855,-10.4461
3139216,-10.4454
3139578,-10.4448
3139939,-10.4442
3140301,-10.4436
3140662,-10.4430
3141024,-10.4423
3141386,-10.4417
3141747,-10.4411
3142109,-10.4405
3142471,-10.4399
3142833,-10.4392
3143194,-10.4386
3143556,-10.4380
3143918,-10.4374
3144280,-10.4367
3144642,-10.4361
3145004,-10.4355
3145366,-10.4348
3145729,-10.4342
3146091,-10.4336
3146453,-10.4329
3146815,-10.4323
3147178,-10.4317
3147540,-10.4310
3147902,-10.4304
3148265,-10.4298
3148627,-10.4291
3148990,-10.4285
3149352,-10.4279
3149715,-10.4272
3150078,-10.4266
3150440,-10.4259
3150803,-10.4253
3151166,-10.4247
3151529,-10.4240
3151891,-10.4234
3152254,-10.4227
3152617,-10.4221
3152980,-10.4214
3153343,-10.4208
3153706,-10.4201
3154069,-10.4195
3154433,-10.4188
3154796,-10.4182
3155159,-10.4175
3155522,-10.4169
3155886,-10.4162
3156249,-10.4156
3156612,-10.4149
3156976,-10.4143
3157339,-10.4136
3157703,-10.4130
3158066,-10.4123
3158430,-10.4117
3158794,-10.4110
3159157,-10.4103
3159521,-10.4097
3159885,-10.4090
3160249,-10.4084
3160613,-10.4077
3160976,-10.4070
3161340,-10.4064
3161704,-10.4057
3162068,-10.4050
3162432,-10.4044
3162797,-10.4037
3163161,-10.4030
3163525,-10.4024
3163889,-10.4017
3164253,-10.4010
3164618,-10.4004
3164982,-10.3997
3165346,-10.3990
3165711,-10.3984
3166075,-10.3977
3166440,-10.3970
3166805,-10.3963
3167169,-10.3957
3167534,-10.3950
3167898,-10.3943
3168263,-10.3936
3168628,-10.3929
3168993,-10.3923
3169358,-10.3916
3169723,-10.3909
3170088,-10.3902
3170453,-10.3895
3170818,-10.3889
3171183,-10.3882
3171548,-10.3875
3171913,-10.3868
3172278,-10.3861
3172643,-10.3854
3173009,-10.3847
3173374,-10.3841
3173739,-10.3834
3174105,-10.3827
3174470,-10.3820
3174836,-10.3813
3175201,-10.3806
3175567,-10.3799
3175932,-10.3792
3176298,-10.3785
3176664,-10.3778
3177030,-10.3771
3177395,-10.3764
3177761,-10.3757
3178127,-10.3750
3178493,-10.3743
3178859,-10.3736
3179225,-10.3729
3179591,-10.3722
3179957,-10.3715
3180323,-10.3708
3180689,-10.3701
3181056,-10.3694
3181422,-10.3687
3181788,-10.3680
3182154,-10.3673
3182521,-10.3666
3182887,-10.3659
3183254,-10.3652
3183620,-10.3645
3183987,-10.3638
3184353,-10.3630
3184720,-10.3623
3185087,-10.3616
3185453,-10.3609
3185820,-10.3602
3186187,-10.3595
3186554,-10.3588
3186921,-10.3580
3187288,-10.3573
3187655,-10.3566
3188022,-10.3559
3188389,-10.3552
3188756,-10.3544
3189123,-10.3537
3189490,-10.3530
3189857,-10.3523
3190225,-10.3516
3190592,-10.3508
3190959,-10.3501
3191327,-10.3494
3191694,-10.3487
3192062,-10.3479
3192429,-10.3472
3192797,-10.3465
3193164,-10.3457
3193532,-10.3450
3193900,-10.3443
3194267,-10.3435
3194635,-10.3428
3195003,-10.3421
3195371,-10.3413
3195739,-10.3406
3196107,-10.3399
3196475,-10.3391
3196843,-10.3384
3197211,-10.3377
3197579,-10.3369
3197947,-10.3362
3198315,-10.3354
3198683,-10.3347
3199052,-10.3340
3199420,-10.3332
3199788,-10.3325
3200157,-10.3317
3200525,-10.3310
3200894,-10.3302
3201262,-10.3295
3201631,-10.3288
3201999,-10.3280
3202368,-10.3273
3202737,-10.3265
3203106,-10.3258
3203474,-10.3250
3203843,-10.3243
3204212,-10.3235
3204581,-10.3228
3204950,-10.3220
3205319,-10.3212
3205688,-10.3205
3206057,-10.3197
3206426,-10.3190
3206795,-10.3182
3207165,-10.3175
3207534,-10.3167
3207903,-10.3159
3208273,-10.3152
3208642,-10.3144
3209011,-10.3137
3209381,-10.3129
3209750,-10.3121
3210120,-10.3114
3210490,-10.3106
3210859,-10.3098
3211229,-10.3091
3211599,-10.3083
3211968,-10.3075
3212338,-10.3068
3212708,-10.3060
3213078,-10.3052
3213448,-10.3045
3213818,-10.3037
3214188,-10.3029
3214558,-10.3021
3214928,-10.3014
3215298,-10.3006
3215668,-10.2998
3216039,-10.2990
3216409,-10.2983
3216779,-10.2975
3217150,-10.2967
3217520,-10.2959
3217890,-10.2952
3218261,-10.2944
3218631,-10.2936
3219002,-10.2928
3219373,-10.2920
3219743,-10.2912
3220114,-10.2905
3220485,-10.2897
3220856,-10.2889
3221226,-10.2881
3221597,-10.2873
3221968,-10.2865
3222339,-10.2857
3222710,-10.2850
3223081,-10.2842
3223452,-10.2834
3223823,-10.2826
3224195,-10.2818
3224566,-10.2810
3224937,-10.2802
3225308,-10.2794
3225680,-10.2786
3226051,-10.2778
3226423,-10.2770
3226794,-10.2762
3227166,-10.2754
3227537,-10.2746
3227909,-10.2738
3228280,-10.2730
3228652,-10.2722
3229024,-10.2714
3229396,-10.2706
3229767,-10.2698
3230139,-10.2690
3230511,-10.2682
3230883,-10.2674
3231255,-10.2666
3231627,-10.2658
3231999,-10.2650
3232371,-10.2642
3232744,-10.2634
3233116,-10.2626
3233488,-10.2617
3233860,-10.2609
3234233,-10.2601
3234605,-10.2593
3234977,-10.2585
3235350,-10.2577
3235722,-10.2569
3236095,-10.2560
3236468,-10.2552
3236840,-10.2544
3237213,-10.2536
3237586,-10.2528
3237958,-10.2520
3238331,-10.2511
3238704,-10.2503
3239077,-10.2495
3239450,-10.2487
3239823,-10.2478
3240196,-10.2470
3240569,-10.2462
3240942,-10.2454
3241315,-10.2445
3241688,-10.2437
3242062,-10.2429
3242435,-10.2421
3242808,-10.2412
3243182,-10.2404
3243555,-10.2396
3243928,-10.2387
3244302,-10.2379
3244675,-10.2371
3245049,-10.2362
3245423,-10.2354
3245796,-10.2346
3246170,-10.2337
3246544,-10.2329
3246918,-10.2321
3247291,-10.2312
3247665,-10.2304
3248039,-10.2295
3248413,-10.2287
3248787,-10.2279
3249161,-10.2270
3249535,-10.2262
3249909,-10.2253
3250284,-10.2245
3250658,-10.2236
3251032,-10.2228
3251406,-10.2220
3251781,-10.2211
3252155,-10.2203
3252530,-10.2194
3252904,-10.2186
3253279,-10.2177
3253653,-10.2169
3254028,-10.2160
3254402,-10.2152
3254777,-10.2143
3255152,-10.2134
3255527,-10.2126
3255901,-10.2117
3256276,-10.2109
3256651,-10.2100
3257026,-10.2092
3257401,-10.2083
3257776,-10.2075
3258151,-10.2066
3258526,-10.2057
3258902,-10.2049
3259277,-10.2040
3259652,-10.2031
3260027,-10.2023
3260403,-10.2014
3260778,-10.2006
3261154,-10.1997
3261529,-10.1988
3261905,-10.1980
3262280,-10.1971
3262656,-10.1962
3263031,-10.1954
3263407,-10.1945
3263783,-10.1936
3264159,-10.1927
3264534,-10.1919
3264910,-10.1910
3265286,-10.1901
3265662,-10.1893
3266038,-10.1884
3266414,-10.1875
3266790,-10.1866
3267166,-10.1857
3267543,-10.1849
3267919,-10.1840
3268295,-10.1831
3268671,-10.1822
3269048,-10.1814
3269424,-10.1805
3269800,-10.1796
3270177,-10.1787
3270553,-10.1778
3270930,-10.1769
3271307,-10.1761
3271683,-10.1752
3272060,-10.1743
3272437,-10.1734
3272813,-10.1725
3273190,-10.1716
3273567,-10.1707
3273944,-10.1698
3274321,-10.1689
3274698,-10.1681
3275075,-10.1672
3275452,-10.1663
3275829,-10.1654
3276206,-10.1645
3276584,-10.1636
3276961,-10.1627
3277338,-10.1618
3277715,-10.1609
3278093,-10.1600
3278470,-10.1591
3278848,-10.1582
3279225,-10.1573
3279603,-10.1564
3279980,-10.1555
3280358,-10.1546
3280736,-10.1537
3281114,-10.1528
3281491,-10.1519
3281869,-10.1510
3282247,-10.1501
3282625,-10.1492
3283003,-10.1483
3283381,-10.1473
3283759,-10.1464
3284137,-10.1455
3284515,-10.1446
3284893,-10.1437
3285271,-10.1428
3285650,-10.1419
3286028,-10.1410
3286406,-10.1401
3286785,-10.1391
3287163,-10.1382
3287542,-10.1373
3287920,-10.1364
3288299,-10.1355
3288677,-10.1346
3289056,-10.1336
3289435,-10.1327
3289813,-10.1318
3290192,-10.1309
3290571,-10.1300
3290950,-10.1290
3291329,-10.1281
3291708,-10.1272
3292087,-10.1263
3292466,-10.1253
3292845,-10.1244
3293224,-10.1235
3293603,-10.1225
3293982,-10.1216
3294362,-10.1207
3294741,-10.1198
3295120,-10.1188
3295500,-10.1179
3295879,-10.1170
3296258,-10.1160
3296638,-10.1151
3297018,-10.1142
3297397,-10.1132
3297777,-10.1123
3298156,-10.1114
3298536,-10.1104
3298916,-10.1095
3299296,-10.1085
3299676,-10.1076
3300056,-10.1067
3300436,-10.1057
3300816,-10.1048
3301196,-10.1038
3301576,-10.1029
3301956,-10.1020
3302336,-10.1010
3302716,-10.1001
3303096,-10.0991
3303477,-10.0982
3303857,-10.0972
3304237,-10.0963
3304618,-10.0953
3304998,-10.0944
3305379,-10.0934
3305760,-10.0925
3306140,-10.0915
3306521,-10.0906
3306901,-10.0896
3307282,-10.0887
3307663,-10.0877
3308044,-10.0868
3308425,-10.0858
3308806,-10.0848
3309187,-10.0839
3309568,-10.0829
3309949,-10.0820
3310330,-10.0810
3310711,-10.0800
3311092,-10.0791
3311473,-10.0781
3311855,-10.0772
3312236,-10.0762
3312617,-10.0752
3312999,-10.0743
3313380,-10.0733
3313762,-10.0723
3314143,-10.0714
3314525,-10.0704
3314906,-10.0694
3315288,-10.0685
3315670,-10.0675
3316051,-10.0665
3316433,-10.0656
3316815,-10.0646
3317197,-10.0636
3317579,-10.0626
3317961,-10.0617
3318343,-10.0607
3318725,-10.0597
3319107,-10.0587
3319489,-10.0578
3319871,-10.0568
