frequency_hz,ant_to_out_db
8000000,14.0138
8000921,13.9950
8001842,13.9763
8002764,13.9576
8003685,13.9389
8004606,13.9202
8005528,13.9015
8006450,13.8829
8007372,13.8642
8008294,13.8456
8009216,13.8270
8010138,13.8084
8011060,13.7899
8011982,13.7713
8012905,13.7528
8013827,13.7343
8014750,13.7158
8015673,13.6973
8016596,13.6788
8017519,13.6604
8018442,13.6419
8019365,13.6235
8020288,13.6051
8021212,13.5867
8022135,13.5684
8023059,13.5500
8023983,13.5317
8024907,13.5134
8025831,13.4951
8026755,13.4768
8027679,13.4585
8028603,13.4402
8029527,13.4220
8030452,13.4038
8031377,13.3856
8032301,13.3674
8033226,13.3492
8034151,13.3311
8035076,13.3129
8036001,13.2948
8036926,13.2767
8037852,13.2586
8038777,13.2405
8039703,13.2225
8040628,13.2044
8041554,13.1864
8042480,13.1684
8043406,13.1504
8044332,13.1324
8045258,13.1144
8046185,13.0965
8047111,13.0785
8048037,13.0606
8048964,13.0427
8049891,13.0248
8050818,13.0070
8051745,12.9891
8052672,12.9713
8053599,12.9534
8054526,12.9356
8055453,12.9178
8056381,12.9001
8057308,12.8823
8058236,12.8645
8059164,12.8468
8060092,12.8291
8061020,12.8114
8061948,12.7937
8062876,12.7760
8063804,12.7584
8064733,12.7407
8065661,12.7231
8066590,12.7055
8067519,12.6879
8068448,12.6703
8069377,12.6527
8070306,12.6352
8071235,12.6176
8072164,12.6001
8073094,12.5826
8074023,12.5651
8074953,12.5476
8075882,12.5302
8076812,12.5127
8077742,12.4953
8078672,12.4779
8079602,12.4605
8080533,12.4431
8081463,12.4257
8082393,12.4083
8083324,12.3910
8084255,12.3737
8085185,12.3563
8086116,12.3390
8087047,12.3218
8087978,12.3045
8088910,12.2872
8089841,12.2700
8090772,12.2527
8091704,12.2355
8092636,12.2183
8093567,12.2011
8094499,12.1840
8095431,12.1668
8096363,12.1497
8097295,12.1325
8098228,12.1154
8099160,12.0983
8100093,12.0812
8101025,12.0641
8101958,12.0471
8102891,12.0300
8103824,12.0130
8104757,11.9960
8105690,11.9790
8106623,11.9620
8107557,11.9450
8108490,11.9281
8109424,11.9111
8110357,11.8942
8111291,11.8773
8112225,11.8604
8113159,11.8435
8114093,11.8266
8115027,11.8097
8115962,11.7929
8116896,11.7760
8117831,11.7592
8118765,11.7424
8119700,11.7256
8120635,11.7088
8121570,11.6920
8122505,11.6753
8123440,11.6586
8124375,11.6418
8125311,11.6251
8126246,11.6084
8127182,11.5917
8128118,11.5750
8129054,11.5584
8129990,11.5417
8130926,11.5251
8131862,11.5085
8132798,11.4919
8133734,11.4753
8134671,11.4587
8135607,11.4421
8136544,11.4256
8137481,11.4090
8138418,11.3925
8139355,11.3760
8140292,11.3595
8141229,11.3430
8142167,11.3265
8143104,11.3101
8144042,11.2936
8144979,11.2772
8145917,11.2607
8146855,11.2443
8147793,11.2279
8148731,11.2116
8149669,11.1952
8150608,11.1788
8151546,11.1625
8152485,11.1461
8153423,11.1298
8154362,11.1135
8155301,11.0972
8156240,11.0809
8157179,11.0647
8158118,11.0484
8159057,11.0322
8159997,11.0159
8160936,10.9997
8161876,10.9835
8162816,10.9673
8163755,10.9511
8164695,10.9350
8165635,10.9188
8166576,10.9027
8167516,10.8865
8168456,10.8704
8169397,10.8543
8170337,10.8382
8171278,10.8221
8172219,10.8061
8173160,10.7900
8174101,10.7740
8175042,10.7579
8175983,10.7419
8176924,10.7259
8177866,10.7099
8178808,10.6939
8179749,10.6780
8180691,10.6620
8181633,10.6461
8182575,10.6301
8183517,10.6142
8184459,10.5983
8185402,10.5824
8186344,10.5665
8187286,10.5507
8188229,10.5348
8189172,10.5190
8190115,10.5031
8191058,10.4873
8192001,10.4715
8192944,10.4557
8193887,10.4399
8194831,10.4241
8195774,10.4084
8196718,10.3926
8197662,10.3769
8198605,10.3611
8199549,10.3454
8200493,10.3297
8201438,10.3140
8202382,10.2983
8203326,10.2827
8204271,10.2670
8205215,10.2514
8206160,10.2357
8207105,10.2201
8208050,10.2045
8208995,10.1889
8209940,10.1733
8210885,10.1577
8211831,10.1422
8212776,10.1266
8213722,10.1111
8214667,10.0956
8215613,10.0800
8216559,10.0645
8217505,10.0490
8218451,10.0336
8219398,10.0181
8220344,10.0026
8221290,9.9872
8222237,9.9717
8223184,9.9563
8224130,9.9409
8225077,9.9255
8226024,9.9101
8226971,9.8947
8227919,9.8794
8228866,9.8640
8229813,9.8487
8230761,9.8333
8231709,9.8180
8232656,9.8027
8233604,9.7874
8234552,9.7721
8235500,9.7568
8236448,9.7415
8237397,9.7263
8238345,9.7110
8239294,9.6958
8240242,9.6806
8241191,9.6654
8242140,9.6502
8243089,9.6350
8244038,9.6198
8244987,9.6046
8245937,9.5895
8246886,9.5743
8247835,9.5592
8248785,9.5441
8249735,9.5290
8250685,9.5138
8251635,9.4988
8252585,9.4837
8253535,9.4686
8254485,9.4535
8255435,9.4385
8256386,9.4235
8257337,9.4084
8258287,9.3934
8259238,9.3784
8260189,9.3634
8261140,9.3484
8262091,9.3335
8263043,9.3185
8263994,9.3035
8264945,9.2886
8265897,9.2737
8266849,9.2587
8267800,9.2438
8268752,9.2289
8269704,9.2141
8270657,9.1992
8271609,9.1843
8272561,9.1694
8273514,9.1546
8274466,9.1398
8275419,9.1249
8276372,9.1101
8277325,9.0953
8278278,9.0805
8279231,9.0657
8280184,9.0510
8281137,9.0362
8282091,9.0215
8283044,9.0067
8283998,8.9920
8284952,8.9773
8285906,8.9625
8286860,8.9478
8287814,8.9332
8288768,8.9185
8289722,8.9038
8290677,8.8891
8291631,8.8745
8292586,8.8599
8293541,8.8452
8294496,8.8306
8295451,8.8160
8296406,8.8014
8297361,8.7868
8298316,8.7722
8299272,8.7577
8300227,8.7431
8301183,8.7285
8302139,8.7140
8303095,8.6995
8304051,8.6850
8305007,8.6705
8305963,8.6560
8306919,8.6415
8307876,8.6270
8308832,8.6125
8309789,8.5981
8310746,8.5836
8311702,8.5692
8312659,8.5547
8313616,8.5403
8314574,8.5259
8315531,8.5115
8316488,8.4971
8317446,8.4827
8318404,8.4684
8319361,8.4540
