frequency_hz,ant_to_out_db
3000000,-10.7004
3000345,-10.7001
3000691,-10.6998
3001036,-10.6995
3001382,-10.6992
3001727,-10.6989
3002073,-10.6986
3002419,-10.6983
3002764,-10.6980
3003110,-10.6977
3003456,-10.6974
3003802,-10.6971
3004148,-10.6968
3004493,-10.6965
3004839,-10.6962
3005185,-10.6959
3005531,-10.6956
3005877,-10.6953
3006223,-10.6950
3006570,-10.6947
3006916,-10.6944
3007262,-10.6941
3007608,-10.6938
3007954,-10.6934
3008301,-10.6931
3008647,-10.6928
3008994,-10.6925
3009340,-10.6922
3009686,-10.6919
3010033,-10.6916
3010380,-10.6912
3010726,-10.6909
3011073,-10.6906
3011419,-10.6903
3011766,-10.6900
3012113,-10.6896
3012460,-10.6893
3012807,-10.6890
3013153,-10.6887
3013500,-10.6883
3013847,-10.6880
3014194,-10.6877
3014541,-10.6873
3014888,-10.6870
3015236,-10.6867
3015583,-10.6864
3015930,-10.6860
3016277,-10.6857
3016625,-10.6854
3016972,-10.6850
3017319,-10.6847
3017667,-10.6844
3018014,-10.6840
3018362,-10.6837
3018709,-10.6833
3019057,-10.6830
3019404,-10.6827
3019752,-10.6823
3020100,-10.6820
3020447,-10.6816
3020795,-10.6813
3021143,-10.6809
3021491,-10.6806
3021839,-10.6803
3022186,-10.6799
3022534,-10.6796
3022882,-10.6792
3023230,-10.6789
3023579,-10.6785
3023927,-10.6782
3024275,-10.6778
3024623,-10.6775
3024971,-10.6771
3025320,-10.6767
3025668,-10.6764
3026016,-10.6760
3026365,-10.6757
3026713,-10.6753
3027062,-10.6750
3027410,-10.6746
3027759,-10.6742
3028107,-10.6739
3028456,-10.6735
3028805,-10.6732
3029153,-10.6728
3029502,-10.6724
3029851,-10.6721
3030200,-10.6717
3030549,-10.6713
3030898,-10.6710
3031247,-10.6706
3031596,-10.6702
3031945,-10.6699
3032294,-10.6695
3032643,-10.6691
3032992,-10.6687
3033341,-10.6684
3033690,-10.6680
3034040,-10.6676
3034389,-10.6672
3034738,-10.6669
3035088,-10.6665
3035437,-10.6661
3035787,-10.6657
3036136,-10.6653
3036486,-10.6650
3036835,-10.6646
3037185,-10.6642
3037535,-10.6638
3037884,-10.6634
3038234,-10.6631
3038584,-10.6627
3038934,-10.6623
3039284,-10.6619
3039634,-10.6615
3039984,-10.6611
3040334,-10.6607
3040684,-10.6603
3041034,-10.6599
3041384,-10.6595
3041734,-10.6592
3042084,-10.6588
3042435,-10.6584
3042785,-10.6580
3043135,-10.6576
3043486,-10.6572
3043836,-10.6568
3044186,-10.6564
3044537,-10.6560
3044888,-10.6556
3045238,-10.6552
3045589,-10.6548
3045939,-10.6544
3046290,-10.6540
3046641,-10.6536
3046992,-10.6532
3047342,-10.6528
3047693,-10.6523
3048044,-10.6519
3048395,-10.6515
3048746,-10.6511
3049097,-10.6507
3049448,-10.6503
3049799,-10.6499
3050150,-10.6495
3050502,-10.6491
3050853,-10.6486
3051204,-10.6482
3051555,-10.6478
3051907,-10.6474
3052258,-10.6470
3052610,-10.6466
3052961,-10.6461
3053312,-10.6457
3053664,-10.6453
3054016,-10.6449
3054367,-10.6445
3054719,-10.6440
3055071,-10.6436
3055422,-10.6432
3055774,-10.6428
3056126,-10.6423
3056478,-10.6419
3056830,-10.6415
3057182,-10.6410
3057534,-10.6406
3057886,-10.6402
3058238,-10.6397
3058590,-10.6393
3058942,-10.6389
3059294,-10.6384
3059647,-10.6380
3059999,-10.6376
3060351,-10.6371
3060703,-10.6367
3061056,-10.6363
3061408,-10.6358
3061761,-10.6354
3062113,-10.6349
3062466,-10.6345
3062818,-10.6341
3063171,-10.6336
3063524,-10.6332
3063876,-10.6327
3064229,-10.6323
3064582,-10.6318
3064935,-10.6314
3065288,-10.6309
3065641,-10.6305
3065994,-10.6300
3066347,-10.6296
3066700,-10.6291
3067053,-10.6287
3067406,-10.6282
3067759,-10.6278
3068112,-10.6273
3068466,-10.6269
