frequency_hz,ant_to_out_db
3111869,-10.4456
3112227,-10.4451
3112585,-10.4445
3112944,-10.4440
3113302,-10.4434
3113660,-10.4428
3114019,-10.4423
3114378,-10.4417
3114736,-10.4411
3115095,-10.4406
3115453,-10.4400
3115812,-10.4394
3116171,-10.4389
3116530,-10.4383
3116888,-10.4377
3117247,-10.4372
3117606,-10.4366
3117965,-10.4360
3118324,-10.4354
3118683,-10.4349
3119042,-10.4343
3119401,-10.4337
3119760,-10.4331
3120120,-10.4326
3120479,-10.4320
3120838,-10.4314
3121198,-10.4308
3121557,-10.4303
3121916,-10.4297
3122276,-10.4291
3122635,-10.4285
3122995,-10.4279
3123354,-10.4273
3123714,-10.4268
3124074,-10.4262
3124433,-10.4256
3124793,-10.4250
3125153,-10.4244
3125513,-10.4238
3125872,-10.4232
3126232,-10.4226
3126592,-10.4220
3126952,-10.4215
3127312,-10.4209
3127672,-10.4203
3128032,-10.4197
3128393,-10.4191
3128753,-10.4185
3129113,-10.4179
3129473,-10.4173
3129834,-10.4167
3130194,-10.4161
3130554,-10.4155
3130915,-10.4149
3131275,-10.4143
3131636,-10.4137
3131996,-10.4131
3132357,-10.4125
3132718,-10.4119
3133078,-10.4113
3133439,-10.4107
3133800,-10.4101
3134161,-10.4095
3134522,-10.4088
3134882,-10.4082
3135243,-10.4076
3135604,-10.4070
3135965,-10.4064
3136326,-10.4058
3136688,-10.4052
3137049,-10.4046
3137410,-10.4040
3137771,-10.4033
3138132,-10.4027
3138494,-10.4021
3138855,-10.4015
3139216,-10.4009
3139578,-10.4003
3139939,-10.3996
3140301,-10.3990
3140662,-10.3984
3141024,-10.3978
3141386,-10.3971
3141747,-10.3965
3142109,-10.3959
3142471,-10.3953
3142833,-10.3946
3143194,-10.3940
3143556,-10.3934
3143918,-10.3928
3144280,-10.3921
3144642,-10.3915
3145004,-10.3909
3145366,-10.3902
3145729,-10.3896
3146091,-10.3890
3146453,-10.3883
3146815,-10.3877
3147178,-10.3871
3147540,-10.3864
3147902,-10.3858
3148265,-10.3852
3148627,-10.3845
3148990,-10.3839
3149352,-10.3832
3149715,-10.3826
3150078,-10.3820
3150440,-10.3813
3150803,-10.3807
3151166,-10.3800
3151529,-10.3794
3151891,-10.3787
3152254,-10.3781
