frequency_hz,ant_to_out_db
3000000,-10.8500
3000345,-10.8498
3000691,-10.8495
3001036,-10.8492
3001382,-10.8489
3001727,-10.8486
3002073,-10.8484
3002419,-10.8481
3002764,-10.8478
3003110,-10.8475
3003456,-10.8472
3003802,-10.8469
3004148,-10.8466
3004493,-10.8464
3004839,-10.8461
3005185,-10.8458
3005531,-10.8455
3005877,-10.8452
3006223,-10.8449
3006570,-10.8446
3006916,-10.8443
3007262,-10.8440
3007608,-10.8437
3007954,-10.8434
3008301,-10.8431
3008647,-10.8428
3008994,-10.8425
3009340,-10.8422
3009686,-10.8419
3010033,-10.8416
3010380,-10.8413
3010726,-10.8410
3011073,-10.8407
3011419,-10.8404
3011766,-10.8401
3012113,-10.8398
3012460,-10.8395
3012807,-10.8392
3013153,-10.8389
3013500,-10.8386
3013847,-10.8383
3014194,-10.8380
3014541,-10.8376
3014888,-10.8373
3015236,-10.8370
3015583,-10.8367
3015930,-10.8364
3016277,-10.8361
3016625,-10.8358
3016972,-10.8354
3017319,-10.8351
3017667,-10.8348
3018014,-10.8345
3018362,-10.8342
3018709,-10.8338
3019057,-10.8335
3019404,-10.8332
3019752,-10.8329
3020100,-10.8325
3020447,-10.8322
3020795,-10.8319
3021143,-10.8316
3021491,-10.8312
3021839,-10.8309
3022186,-10.8306
3022534,-10.8302
3022882,-10.8299
3023230,-10.8296
3023579,-10.8292
3023927,-10.8289
3024275,-10.8286
3024623,-10.8282
3024971,-10.8279
3025320,-10.8276
3025668,-10.8272
3026016,-10.8269
3026365,-10.8266
3026713,-10.8262
3027062,-10.8259
3027410,-10.8255
3027759,-10.8252
3028107,-10.8248
3028456,-10.8245
3028805,-10.8241
3029153,-10.8238
3029502,-10.8235
3029851,-10.8231
3030200,-10.8228
3030549,-10.8224
3030898,-10.8221
3031247,-10.8217
3031596,-10.8214
3031945,-10.8210
3032294,-10.8206
3032643,-10.8203
3032992,-10.8199
3033341,-10.8196
3033690,-10.8192
3034040,-10.8189
3034389,-10.8185
3034738,-10.8181
3035088,-10.8178
3035437,-10.8174
3035787,-10.8171
3036136,-10.8167
3036486,-10.8163
3036835,-10.8160
3037185,-10.8156
3037535,-10.8152
3037884,-10.8149
3038234,-10.8145
3038584,-10.8141
3038934,-10.8138
3039284,-10.8134
3039634,-10.8130
3039984,-10.8127
3040334,-10.8123
3040684,-10.8119
3041034,-10.8115
3041384,-10.8112
3041734,-10.8108
3042084,-10.8104
3042435,-10.8100
3042785,-10.8097
3043135,-10.8093
3043486,-10.8089
3043836,-10.8085
3044186,-10.8081
3044537,-10.8077
3044888,-10.8074
3045238,-10.8070
3045589,-10.8066
3045939,-10.8062
3046290,-10.8058
3046641,-10.8054
3046992,-10.8051
3047342,-10.8047
3047693,-10.8043
3048044,-10.8039
3048395,-10.8035
3048746,-10.8031
3049097,-10.8027
3049448,-10.8023
3049799,-10.8019
3050150,-10.8015
3050502,-10.8011
3050853,-10.8007
3051204,-10.8003
3051555,-10.7999
3051907,-10.7995
3052258,-10.7991
3052610,-10.7987
3052961,-10.7983
3053312,-10.7979
3053664,-10.7975
3054016,-10.7971
3054367,-10.7967
3054719,-10.7963
3055071,-10.7959
3055422,-10.7955
3055774,-10.7951
3056126,-10.7947
3056478,-10.7943
3056830,-10.7939
3057182,-10.7935
3057534,-10.7930
3057886,-10.7926
3058238,-10.7922
3058590,-10.7918
3058942,-10.7914
3059294,-10.7910
3059647,-10.7906
3059999,-10.7901
3060351,-10.7897
3060703,-10.7893
3061056,-10.7889
3061408,-10.7885
3061761,-10.7880
3062113,-10.7876
3062466,-10.7872
3062818,-10.7868
3063171,-10.7863
3063524,-10.7859
3063876,-10.7855
3064229,-10.7851
3064582,-10.7846
3064935,-10.7842
3065288,-10.7838
3065641,-10.7833
3065994,-10.7829
3066347,-10.7825
3066700,-10.7820
3067053,-10.7816
3067406,-10.7812
3067759,-10.7807
3068112,-10.7803
3068466,-10.7799
3068819,-10.7794
3069172,-10.7790
3069526,-10.7786
3069879,-10.7781
3070232,-10.7777
3070586,-10.7772
3070939,-10.7768
3071293,-10.7763
3071647,-10.7759
3072000,-10.7755
3072354,-10.7750
3072708,-10.7746
3073062,-10.7741
3073415,-10.7737
3073769,-10.7732
3074123,-10.7728
3074477,-10.7723
3074831,-10.7719
3075185,-10.7714
3075539,-10.7710
3075893,-10.7705
3076247,-10.7701
3076602,-10.7696
3076956,-10.7692
3077310,-10.7687
3077664,-10.7682
3078019,-10.7678
3078373,-10.7673
3078728,-10.7669
3079082,-10.7664
3079437,-10.7659
3079791,-10.7655
3080146,-10.7650
3080500,-10.7645
3080855,-10.7641
3081210,-10.7636
3081564,-10.7632
3081919,-10.7627
3082274,-10.7622
3082629,-10.7618
3082984,-10.7613
3083339,-10.7608
3083694,-10.7603
3084049,-10.7599
3084404,-10.7594
3084759,-10.7589
3085114,-10.7584
3085469,-10.7580
3085825,-10.7575
3086180,-10.7570
3086535,-10.7565
3086891,-10.7561
3087246,-10.7556
3087602,-10.7551
3087957,-10.7546
3088313,-10.7541
3088668,-10.7537
3089024,-10.7532
3089379,-10.7527
3089735,-10.7522
3090091,-10.7517
3090447,-10.7512
3090802,-10.7508
3091158,-10.7503
3091514,-10.7498
3091870,-10.7493
3092226,-10.7488
3092582,-10.7483
3092938,-10.7478
3093294,-10.7473
3093651,-10.7468
3094007,-10.7463
3094363,-10.7459
3094719,-10.7454
3095076,-10.7449
3095432,-10.7444
3095788,-10.7439
3096145,-10.7434
3096501,-10.7429
3096858,-10.7424
3097214,-10.7419
3097571,-10.7414
3097928,-10.7409
3098284,-10.7404
3098641,-10.7399
3098998,-10.7394
3099355,-10.7389
3099711,-10.7383
3100068,-10.7378
3100425,-10.7373
3100782,-10.7368
3101139,-10.7363
3101496,-10.7358
3101853,-10.7353
3102210,-10.7348
3102568,-10.7343
3102925,-10.7338
3103282,-10.7332
3103639,-10.7327
3103997,-10.7322
3104354,-10.7317
3104712,-10.7312
3105069,-10.7307
3105427,-10.7301
3105784,-10.7296
3106142,-10.7291
3106499,-10.7286
3106857,-10.7281
3107215,-10.7275
3107572,-10.7270
3107930,-10.7265
3108288,-10.7260
3108646,-10.7254
3109004,-10.7249
3109362,-10.7244
3109720,-10.7239
3110078,-10.7233
3110436,-10.7228
3110794,-10.7223
3111152,-10.7217
3111510,-10.7212
3111869,-10.7207
3112227,-10.7202
3112585,-10.7196
3112944,-10.7191
3113302,-10.7185
3113660,-10.7180
3114019,-10.7175
3114378,-10.7169
3114736,-10.7164
3115095,-10.7159
3115453,-10.7153
3115812,-10.7148
3116171,-10.7142
3116530,-10.7137
3116888,-10.7132
3117247,-10.7126
3117606,-10.7121
3117965,-10.7115
3118324,-10.7110
3118683,-10.7104
3119042,-10.7099
3119401,-10.7093
3119760,-10.7088
3120120,-10.7082
3120479,-10.7077
3120838,-10.7071
3121198,-10.7066
3121557,-10.7060
3121916,-10.7055
3122276,-10.7049
3122635,-10.7044
3122995,-10.7038
3123354,-10.7032
3123714,-10.7027
3124074,-10.7021
3124433,-10.7016
3124793,-10.7010
3125153,-10.7005
3125513,-10.6999
3125872,-10.6993
3126232,-10.6988
3126592,-10.6982
3126952,-10.6976
3127312,-10.6971
3127672,-10.6965
3128032,-10.6959
3128393,-10.6954
3128753,-10.6948
3129113,-10.6942
3129473,-10.6937
3129834,-10.6931
3130194,-10.6925
3130554,-10.6919
3130915,-10.6914
3131275,-10.6908
3131636,-10.6902
3131996,-10.6897
3132357,-10.6891
3132718,-10.6885
3133078,-10.6879
3133439,-10.6873
3133800,-10.6868
3134161,-10.6862
3134522,-10.6856
3134882,-10.6850
3135243,-10.6844
3135604,-10.6839
3135965,-10.6833
3136326,-10.6827
3136688,-10.6821
3137049,-10.6815
3137410,-10.6809
3137771,-10.6803
3138132,-10.6798
3138494,-10.6792
3138855,-10.6786
3139216,-10.6780
3139578,-10.6774
3139939,-10.6768
3140301,-10.6762
3140662,-10.6756
3141024,-10.6750
3141386,-10.6744
3141747,-10.6738
3142109,-10.6732
3142471,-10.6726
3142833,-10.6720
3143194,-10.6714
3143556,-10.6708
3143918,-10.6702
3144280,-10.6696
3144642,-10.6690
3145004,-10.6684
3145366,-10.6678
3145729,-10.6672
3146091,-10.6666
3146453,-10.6660
3146815,-10.6654
3147178,-10.6648
3147540,-10.6642
3147902,-10.6636
3148265,-10.6630
3148627,-10.6624
3148990,-10.6618
3149352,-10.6611
3149715,-10.6605
3150078,-10.6599
3150440,-10.6593
3150803,-10.6587
3151166,-10.6581
3151529,-10.6575
3151891,-10.6568
3152254,-10.6562
3152617,-10.6556
3152980,-10.6550
3153343,-10.6544
3153706,-10.6538
3154069,-10.6531
3154433,-10.6525
3154796,-10.6519
3155159,-10.6513
3155522,-10.6506
3155886,-10.6500
3156249,-10.6494
3156612,-10.6488
3156976,-10.6481
3157339,-10.6475
3157703,-10.6469
3158066,-10.6462
3158430,-10.6456
3158794,-10.6450
3159157,-10.6444
3159521,-10.6437
3159885,-10.6431
3160249,-10.6425
3160613,-10.6418
3160976,-10.6412
3161340,-10.6405
3161704,-10.6399
3162068,-10.6393
3162432,-10.6386
3162797,-10.6380
3163161,-10.6374
3163525,-10.6367
3163889,-10.6361
3164253,-10.6354
3164618,-10.6348
3164982,-10.6341
3165346,-10.6335
3165711,-10.6328
3166075,-10.6322
3166440,-10.6316
3166805,-10.6309
3167169,-10.6303
3167534,-10.6296
3167898,-10.6290
3168263,-10.6283
3168628,-10.6277
3168993,-10.6270
3169358,-10.6264
3169723,-10.6257
3170088,-10.6250
3170453,-10.6244
3170818,-10.6237
3171183,-10.6231
3171548,-10.6224
3171913,-10.6218
3172278,-10.6211
3172643,-10.6204
3173009,-10.6198
3173374,-10.6191
3173739,-10.6185
3174105,-10.6178
3174470,-10.6171
3174836,-10.6165
3175201,-10.6158
3175567,-10.6151
3175932,-10.6145
3176298,-10.6138
3176664,-10.6131
3177030,-10.6125
3177395,-10.6118
3177761,-10.6111
3178127,-10.6105
3178493,-10.6098
3178859,-10.6091
3179225,-10.6084
3179591,-10.6078
3179957,-10.6071
3180323,-10.6064
3180689,-10.6057
3181056,-10.6051
3181422,-10.6044
3181788,-10.6037
3182154,-10.6030
3182521,-10.6024
3182887,-10.6017
3183254,-10.6010
3183620,-10.6003
3183987,-10.5996
3184353,-10.5989
3184720,-10.5983
3185087,-10.5976
3185453,-10.5969
3185820,-10.5962
3186187,-10.5955
3186554,-10.5948
3186921,-10.5941
3187288,-10.5935
3187655,-10.5928
3188022,-10.5921
3188389,-10.5914
3188756,-10.5907
3189123,-10.5900
3189490,-10.5893
3189857,-10.5886
3190225,-10.5879
3190592,-10.5872
3190959,-10.5865
3191327,-10.5858
3191694,-10.5851
3192062,-10.5844
3192429,-10.5837
3192797,-10.5830
3193164,-10.5823
3193532,-10.5816
3193900,-10.5809
3194267,-10.5802
3194635,-10.5795
3195003,-10.5788
3195371,-10.5781
3195739,-10.5774
3196107,-10.5767
3196475,-10.5760
3196843,-10.5753
3197211,-10.5746
3197579,-10.5739
3197947,-10.5731
3198315,-10.5724
3198683,-10.5717
3199052,-10.5710
3199420,-10.5703
3199788,-10.5696
3200157,-10.5689
3200525,-10.5681
3200894,-10.5674
3201262,-10.5667
3201631,-10.5660
3201999,-10.5653
3202368,-10.5646
3202737,-10.5638
3203106,-10.5631
3203474,-10.5624
3203843,-10.5617
3204212,-10.5609
3204581,-10.5602
3204950,-10.5595
3205319,-10.5588
3205688,-10.5580
3206057,-10.5573
3206426,-10.5566
3206795,-10.5559
3207165,-10.5551
3207534,-10.5544
3207903,-10.5537
3208273,-10.5529
3208642,-10.5522
3209011,-10.5515
3209381,-10.5507
3209750,-10.5500
3210120,-10.5493
3210490,-10.5485
3210859,-10.5478
3211229,-10.5471
3211599,-10.5463
3211968,-10.5456
3212338,-10.5449
3212708,-10.5441
3213078,-10.5434
3213448,-10.5426
3213818,-10.5419
3214188,-10.5411
3214558,-10.5404
3214928,-10.5397
3215298,-10.5389
3215668,-10.5382
3216039,-10.5374
3216409,-10.5367
3216779,-10.5359
3217150,-10.5352
3217520,-10.5344
3217890,-10.5337
3218261,-10.5329
3218631,-10.5322
3219002,-10.5314
3219373,-10.5307
3219743,-10.5299
3220114,-10.5292
3220485,-10.5284
3220856,-10.5276
3221226,-10.5269
3221597,-10.5261
3221968,-10.5254
3222339,-10.5246
3222710,-10.5239
3223081,-10.5231
3223452,-10.5223
3223823,-10.5216
3224195,-10.5208
3224566,-10.5200
3224937,-10.5193
3225308,-10.5185
3225680,-10.5177
3226051,-10.5170
3226423,-10.5162
3226794,-10.5154
