frequency_hz,ant_to_out_db
3000000,-10.6501
3000345,-10.6498
3000691,-10.6495
3001036,-10.6492
3001382,-10.6489
3001727,-10.6486
3002073,-10.6483
3002419,-10.6480
3002764,-10.6477
3003110,-10.6474
3003456,-10.6471
3003802,-10.6468
3004148,-10.6465
3004493,-10.6462
3004839,-10.6459
3005185,-10.6455
3005531,-10.6452
3005877,-10.6449
3006223,-10.6446
3006570,-10.6443
3006916,-10.6440
3007262,-10.6437
3007608,-10.6434
3007954,-10.6430
3008301,-10.6427
3008647,-10.6424
3008994,-10.6421
3009340,-10.6418
3009686,-10.6415
3010033,-10.6411
3010380,-10.6408
3010726,-10.6405
3011073,-10.6402
3011419,-10.6398
3011766,-10.6395
3012113,-10.6392
3012460,-10.6389
3012807,-10.6385
3013153,-10.6382
3013500,-10.6379
3013847,-10.6375
3014194,-10.6372
3014541,-10.6369
3014888,-10.6366
3015236,-10.6362
3015583,-10.6359
3015930,-10.6356
3016277,-10.6352
3016625,-10.6349
3016972,-10.6345
3017319,-10.6342
3017667,-10.6339
3018014,-10.6335
3018362,-10.6332
3018709,-10.6328
3019057,-10.6325
3019404,-10.6322
3019752,-10.6318
3020100,-10.6315
3020447,-10.6311
3020795,-10.6308
3021143,-10.6304
3021491,-10.6301
3021839,-10.6297
3022186,-10.6294
3022534,-10.6290
3022882,-10.6287
3023230,-10.6283
3023579,-10.6280
3023927,-10.6276
3024275,-10.6273
3024623,-10.6269
3024971,-10.6265
3025320,-10.6262
3025668,-10.6258
3026016,-10.6255
3026365,-10.6251
3026713,-10.6247
3027062,-10.6244
3027410,-10.6240
3027759,-10.6237
3028107,-10.6233
3028456,-10.6229
3028805,-10.6226
3029153,-10.6222
3029502,-10.6218
3029851,-10.6215
3030200,-10.6211
3030549,-10.6207
3030898,-10.6204
3031247,-10.6200
3031596,-10.6196
3031945,-10.6192
3032294,-10.6189
3032643,-10.6185
3032992,-10.6181
3033341,-10.6177
3033690,-10.6174
3034040,-10.6170
3034389,-10.6166
3034738,-10.6162
3035088,-10.6158
3035437,-10.6155
3035787,-10.6151
3036136,-10.6147
3036486,-10.6143
3036835,-10.6139
3037185,-10.6135
3037535,-10.6131
3037884,-10.6128
3038234,-10.6124
3038584,-10.6120
3038934,-10.6116
3039284,-10.6112
3039634,-10.6108
3039984,-10.6104
3040334,-10.6100
3040684,-10.6096
3041034,-10.6092
3041384,-10.6088
3041734,-10.6084
3042084,-10.6080
3042435,-10.6076
3042785,-10.6072
3043135,-10.6068
3043486,-10.6064
3043836,-10.6060
3044186,-10.6056
3044537,-10.6052
3044888,-10.6048
3045238,-10.6044
3045589,-10.6040
3045939,-10.6036
3046290,-10.6032
3046641,-10.6028
3046992,-10.6024
3047342,-10.6020
3047693,-10.6016
3048044,-10.6012
3048395,-10.6007
3048746,-10.6003
3049097,-10.5999
3049448,-10.5995
3049799,-10.5991
3050150,-10.5987
3050502,-10.5983
3050853,-10.5978
3051204,-10.5974
3051555,-10.5970
3051907,-10.5966
3052258,-10.5962
3052610,-10.5957
3052961,-10.5953
3053312,-10.5949
3053664,-10.5945
3054016,-10.5940
3054367,-10.5936
3054719,-10.5932
3055071,-10.5928
3055422,-10.5923
3055774,-10.5919
3056126,-10.5915
3056478,-10.5910
3056830,-10.5906
3057182,-10.5902
3057534,-10.5897
3057886,-10.5893
3058238,-10.5889
3058590,-10.5884
3058942,-10.5880
3059294,-10.5876
3059647,-10.5871
3059999,-10.5867
3060351,-10.5862
3060703,-10.5858
3061056,-10.5854
3061408,-10.5849
3061761,-10.5845
3062113,-10.5840
3062466,-10.5836
3062818,-10.5831
3063171,-10.5827
3063524,-10.5822
3063876,-10.5818
3064229,-10.5814
3064582,-10.5809
3064935,-10.5805
3065288,-10.5800
3065641,-10.5795
3065994,-10.5791
3066347,-10.5786
3066700,-10.5782
3067053,-10.5777
3067406,-10.5773
3067759,-10.5768
3068112,-10.5764
3068466,-10.5759
3068819,-10.5754
3069172,-10.5750
3069526,-10.5745
3069879,-10.5741
3070232,-10.5736
3070586,-10.5731
3070939,-10.5727
3071293,-10.5722
3071647,-10.5717
3072000,-10.5713
3072354,-10.5708
3072708,-10.5703
3073062,-10.5699
3073415,-10.5694
3073769,-10.5689
3074123,-10.5685
3074477,-10.5680
3074831,-10.5675
3075185,-10.5670
3075539,-10.5666
3075893,-10.5661
3076247,-10.5656
3076602,-10.5651
3076956,-10.5647
3077310,-10.5642
3077664,-10.5637
3078019,-10.5632
3078373,-10.5627
3078728,-10.5622
3079082,-10.5618
3079437,-10.5613
3079791,-10.5608
3080146,-10.5603
3080500,-10.5598
3080855,-10.5593
3081210,-10.5589
3081564,-10.5584
3081919,-10.5579
3082274,-10.5574
3082629,-10.5569
3082984,-10.5564
3083339,-10.5559
3083694,-10.5554
3084049,-10.5549
3084404,-10.5544
3084759,-10.5539
3085114,-10.5534
3085469,-10.5529
3085825,-10.5524
3086180,-10.5519
3086535,-10.5514
3086891,-10.5509
3087246,-10.5504
3087602,-10.5499
3087957,-10.5494
3088313,-10.5489
3088668,-10.5484
3089024,-10.5479
3089379,-10.5474
3089735,-10.5469
3090091,-10.5464
3090447,-10.5459
3090802,-10.5454
3091158,-10.5449
3091514,-10.5444
3091870,-10.5439
3092226,-10.5433
3092582,-10.5428
3092938,-10.5423
3093294,-10.5418
3093651,-10.5413
3094007,-10.5408
3094363,-10.5402
3094719,-10.5397
3095076,-10.5392
3095432,-10.5387
3095788,-10.5382
3096145,-10.5377
3096501,-10.5371
3096858,-10.5366
3097214,-10.5361
3097571,-10.5356
3097928,-10.5350
3098284,-10.5345
3098641,-10.5340
3098998,-10.5335
3099355,-10.5329
3099711,-10.5324
3100068,-10.5319
3100425,-10.5313
3100782,-10.5308
3101139,-10.5303
3101496,-10.5297
3101853,-10.5292
3102210,-10.5287
3102568,-10.5281
3102925,-10.5276
3103282,-10.5271
3103639,-10.5265
3103997,-10.5260
3104354,-10.5254
3104712,-10.5249
3105069,-10.5244
3105427,-10.5238
3105784,-10.5233
3106142,-10.5227
3106499,-10.5222
3106857,-10.5216
3107215,-10.5211
3107572,-10.5206
3107930,-10.5200
3108288,-10.5195
3108646,-10.5189
3109004,-10.5184
3109362,-10.5178
3109720,-10.5173
3110078,-10.5167
3110436,-10.5162
3110794,-10.5156
3111152,-10.5150
3111510,-10.5145
3111869,-10.5139
3112227,-10.5134
3112585,-10.5128
3112944,-10.5123
3113302,-10.5117
3113660,-10.5111
3114019,-10.5106
3114378,-10.5100
3114736,-10.5095
3115095,-10.5089
3115453,-10.5083
3115812,-10.5078
3116171,-10.5072
3116530,-10.5066
3116888,-10.5061
3117247,-10.5055
3117606,-10.5049
3117965,-10.5044
3118324,-10.5038
3118683,-10.5032
3119042,-10.5027
3119401,-10.5021
3119760,-10.5015
3120120,-10.5009
3120479,-10.5004
3120838,-10.4998
3121198,-10.4992
3121557,-10.4986
3121916,-10.4981
3122276,-10.4975
3122635,-10.4969
3122995,-10.4963
3123354,-10.4957
3123714,-10.4952
3124074,-10.4946
3124433,-10.4940
3124793,-10.4934
3125153,-10.4928
3125513,-10.4922
3125872,-10.4916
3126232,-10.4911
3126592,-10.4905
3126952,-10.4899
3127312,-10.4893
3127672,-10.4887
3128032,-10.4881
3128393,-10.4875
3128753,-10.4869
3129113,-10.4863
3129473,-10.4857
3129834,-10.4851
3130194,-10.4845
3130554,-10.4840
3130915,-10.4834
3131275,-10.4828
3131636,-10.4822
3131996,-10.4816
3132357,-10.4810
3132718,-10.4804
3133078,-10.4798
3133439,-10.4792
3133800,-10.4785
3134161,-10.4779
3134522,-10.4773
3134882,-10.4767
3135243,-10.4761
3135604,-10.4755
3135965,-10.4749
3136326,-10.4743
3136688,-10.4737
3137049,-10.4731
3137410,-10.4725
3137771,-10.4719
3138132,-10.4712
3138494,-10.4706
3138855,-10.4700
3139216,-10.4694
3139578,-10.4688
3139939,-10.4682
3140301,-10.4676
3140662,-10.4669
3141024,-10.4663
3141386,-10.4657
3141747,-10.4651
3142109,-10.4645
3142471,-10.4638
3142833,-10.4632
3143194,-10.4626
3143556,-10.4620
3143918,-10.4613
3144280,-10.4607
3144642,-10.4601
3145004,-10.4595
3145366,-10.4588
3145729,-10.4582
3146091,-10.4576
3146453,-10.4569
3146815,-10.4563
3147178,-10.4557
3147540,-10.4550
3147902,-10.4544
3148265,-10.4538
3148627,-10.4531
3148990,-10.4525
3149352,-10.4519
3149715,-10.4512
3150078,-10.4506
3150440,-10.4500
3150803,-10.4493
3151166,-10.4487
3151529,-10.4480
3151891,-10.4474
3152254,-10.4467
3152617,-10.4461
3152980,-10.4455
3153343,-10.4448
3153706,-10.4442
3154069,-10.4435
3154433,-10.4429
3154796,-10.4422
3155159,-10.4416
3155522,-10.4409
3155886,-10.4403
3156249,-10.4396
3156612,-10.4390
3156976,-10.4383
3157339,-10.4377
3157703,-10.4370
3158066,-10.4364
3158430,-10.4357
3158794,-10.4350
3159157,-10.4344
3159521,-10.4337
3159885,-10.4331
3160249,-10.4324
3160613,-10.4317
3160976,-10.4311
3161340,-10.4304
3161704,-10.4298
3162068,-10.4291
3162432,-10.4284
3162797,-10.4278
3163161,-10.4271
3163525,-10.4264
3163889,-10.4258
3164253,-10.4251
3164618,-10.4244
3164982,-10.4238
3165346,-10.4231
3165711,-10.4224
3166075,-10.4217
3166440,-10.4211
3166805,-10.4204
3167169,-10.4197
3167534,-10.4191
3167898,-10.4184
3168263,-10.4177
3168628,-10.4170
3168993,-10.4163
3169358,-10.4157
3169723,-10.4150
3170088,-10.4143
3170453,-10.4136
3170818,-10.4129
3171183,-10.4123
3171548,-10.4116
3171913,-10.4109
3172278,-10.4102
3172643,-10.4095
3173009,-10.4088
3173374,-10.4081
3173739,-10.4075
3174105,-10.4068
3174470,-10.4061
3174836,-10.4054
3175201,-10.4047
3175567,-10.4040
3175932,-10.4033
3176298,-10.4026
3176664,-10.4019
3177030,-10.4012
3177395,-10.4005
3177761,-10.3998
3178127,-10.3991
3178493,-10.3984
3178859,-10.3978
3179225,-10.3971
3179591,-10.3964
3179957,-10.3957
3180323,-10.3949
3180689,-10.3942
3181056,-10.3935
3181422,-10.3928
3181788,-10.3921
3182154,-10.3914
3182521,-10.3907
3182887,-10.3900
3183254,-10.3893
3183620,-10.3886
3183987,-10.3879
3184353,-10.3872
3184720,-10.3865
3185087,-10.3858
3185453,-10.3850
3185820,-10.3843
3186187,-10.3836
3186554,-10.3829
3186921,-10.3822
3187288,-10.3815
