frequency_hz,ant_to_out_db
8298316,-28.3818
8299272,-28.3856
8300227,-28.3894
8301183,-28.3933
8302139,-28.3971
8303095,-28.4009
8304051,-28.4047
8305007,-28.4085
8305963,-28.4123
8306919,-28.4162
8307876,-28.4200
8308832,-28.4238
8309789,-28.4276
8310746,-28.4314
8311702,-28.4352
8312659,-28.4390
8313616,-28.4429
8314574,-28.4467
8315531,-28.4505
8316488,-28.4543
8317446,-28.4581
8318404,-28.4619
8319361,-28.4657
8320319,-28.4696
8321277,-28.4734
8322235,-28.4772
8323193,-28.4810
8324152,-28.4848
8325110,-28.4886
8326069,-28.4924
8327027,-28.4962
8327986,-28.5000
8328945,-28.5038
8329904,-28.5077
8330863,-28.5115
8331822,-28.5153
8332781,-28.5191
8333741,-28.5229
8334700,-28.5267
8335660,-28.5305
8336620,-28.5343
8337579,-28.5381
8338539,-28.5419
8339500,-28.5457
8340460,-28.5495
8341420,-28.5533
8342380,-28.5572
8343341,-28.5610
8344301,-28.5648
8345262,-28.5686
8346223,-28.5724
8347184,-28.5762
8348145,-28.5800
8349106,-28.5838
8350068,-28.5876
8351029,-28.5914
8351990,-28.5952
8352952,-28.5990
8353914,-28.6028
8354876,-28.6066
8355838,-28.6104
8356800,-28.6142
8357762,-28.6180
8358724,-28.6218
8359686,-28.6256
8360649,-28.6294
8361612,-28.6332
8362574,-28.6370
8363537,-28.6408
8364500,-28.6446
8365463,-28.6484
8366426,-28.6522
8367390,-28.6560
8368353,-28.6598
8369316,-28.6636
8370280,-28.6674
8371244,-28.6712
8372208,-28.6750
8373172,-28.6788
8374136,-28.6826
8375100,-28.6864
8376064,-28.6902
8377028,-28.6940
8377993,-28.6978
8378957,-28.7016
8379922,-28.7054
8380887,-28.7092
8381852,-28.7130
8382817,-28.7168
8383782,-28.7206
8384747,-28.7244
8385713,-28.7282
8386678,-28.7320
8387644,-28.7358
8388610,-28.7395
8389576,-28.7433
8390541,-28.7471
8391507,-28.7509
8392474,-28.7547
8393440,-28.7585
8394406,-28.7623
8395373,-28.7661
8396339,-28.7699
8397306,-28.7737
8398273,-28.7775
8399240,-28.7813
8400207,-28.7851
8401174,-28.7888
8402141,-28.7926
8403109,-28.7964
8404076,-28.8002
8405044,-28.8040
8406012,-28.8078
8406979,-28.8116
8407947,-28.8154
8408915,-28.8192
8409884,-28.8229
8410852,-28.8267
8411820,-28.8305
8412789,-28.8343
8413757,-28.8381
8414726,-28.8419
8415695,-28.8457
8416664,-28.8495
8417633,-28.8532
8418602,-28.8570
8419571,-28.8608
8420541,-28.8646
8421510,-28.8684
8422480,-28.8722
8423450,-28.8760
8424420,-28.8797
8425389,-28.8835
8426360,-28.8873
8427330,-28.8911
8428300,-28.8949
8429270,-28.8987
8430241,-28.9024
8431212,-28.9062
8432182,-28.9100
8433153,-28.9138
8434124,-28.9176
8435095,-28.9214
8436066,-28.9251
8437038,-28.9289
8438009,-28.9327
8438981,-28.9365
8439952,-28.9403
8440924,-28.9440
8441896,-28.9478
8442868,-28.9516
8443840,-28.9554
8444812,-28.9592
8445784,-28.9629
8446757,-28.9667
8447729,-28.9705
8448702,-28.9743
8449675,-28.9781
8450648,-28.9818
8451620,-28.9856
8452594,-28.9894
8453567,-28.9932
8454540,-28.9969
8455513,-29.0007
8456487,-29.0045
8457461,-29.0083
8458434,-29.0120
8459408,-29.0158
8460382,-29.0196
8461356,-29.0234
8462331,-29.0271
8463305,-29.0309
8464279,-29.0347
8465254,-29.0385
8466229,-29.0422
8467203,-29.0460
8468178,-29.0498
8469153,-29.0536
8470128,-29.0573
8471103,-29.0611
8472079,-29.0649
8473054,-29.0687
8474030,-29.0724
8475005,-29.0762
8475981,-29.0800
8476957,-29.0837
8477933,-29.0875
8478909,-29.0913
8479885,-29.0951
8480862,-29.0988
8481838,-29.1026
8482815,-29.1064
8483792,-29.1101
8484768,-29.1139
8485745,-29.1177
8486722,-29.1214
8487699,-29.1252
8488677,-29.1290
