trap_q,predicted_null_hz,null_hz,depth_vs_no_trap_db,depth_vs_neighbours_db,width_3db_hz,gain_at_null_db,attenuation_at_9mhz_db,null_usable,grid_step_hz
80.0,9003163.161571061,8999560.0,25.3639,20.75607153033633,113127.28163416311,-24.9957,25.362923166023165,1.0,1036.0
40.0,9003163.161571061,8989204.0,19.4882,14.735431424863478,231689.72674009576,-19.0204,19.445902316602318,1.0,1035.0
20.0,9003163.161571061,8948933.0,13.8957,8.872088947492216,510051.77473684214,-13.0353,13.681677606177606,1.0,1030.0
10.0,9003163.161571061,8802809.0,9.0698,3.848326187985655,1963346.8279907983,-6.7091,8.372859845559846,1.0,1013.0
5.0,9003163.161571061,nan,4.154926032017412,nan,nan,nan,4.171664092664093,0.0,1037.0
