band,gain_at_9mhz_no_trap_db,gain_at_9mhz_with_trap_db,attenuation_at_9mhz_db
3.5 MHz,-31.012980694980694,-52.46451969111969,21.451538996138996
7 MHz,0.3639030888030888,-24.999231274131272,25.36313436293436
14 MHz,-0.37060926640926645,-12.973383397683397,12.602774131274131
21 MHz,-8.310814671814672,-25.357871814671814,17.047057142857142
28 MHz,-12.667734749034748,-31.04325752895753,18.375522779922782
