frequency_hz,ant_to_out_db
8000000,-12.5275
8000921,-12.5283
8001842,-12.5291
8002764,-12.5299
8003685,-12.5307
8004606,-12.5316
8005528,-12.5324
8006450,-12.5332
8007372,-12.5341
8008294,-12.5349
8009216,-12.5357
8010138,-12.5366
8011060,-12.5374
8011982,-12.5383
8012905,-12.5391
8013827,-12.5400
8014750,-12.5409
8015673,-12.5417
8016596,-12.5426
8017519,-12.5435
8018442,-12.5444
8019365,-12.5453
8020288,-12.5461
8021212,-12.5470
8022135,-12.5479
8023059,-12.5488
8023983,-12.5497
8024907,-12.5506
8025831,-12.5516
8026755,-12.5525
8027679,-12.5534
8028603,-12.5543
8029527,-12.5552
8030452,-12.5562
8031377,-12.5571
8032301,-12.5580
8033226,-12.5590
8034151,-12.5599
8035076,-12.5609
8036001,-12.5618
8036926,-12.5628
8037852,-12.5638
8038777,-12.5647
8039703,-12.5657
8040628,-12.5667
8041554,-12.5677
8042480,-12.5686
8043406,-12.5696
8044332,-12.5706
8045258,-12.5716
8046185,-12.5726
8047111,-12.5736
8048037,-12.5746
8048964,-12.5756
8049891,-12.5767
8050818,-12.5777
8051745,-12.5787
8052672,-12.5797
8053599,-12.5808
8054526,-12.5818
8055453,-12.5829
8056381,-12.5839
8057308,-12.5850
8058236,-12.5860
8059164,-12.5871
8060092,-12.5881
8061020,-12.5892
8061948,-12.5903
8062876,-12.5914
8063804,-12.5924
8064733,-12.5935
8065661,-12.5946
8066590,-12.5957
8067519,-12.5968
8068448,-12.5979
8069377,-12.5990
8070306,-12.6001
8071235,-12.6013
8072164,-12.6024
8073094,-12.6035
8074023,-12.6046
8074953,-12.6058
8075882,-12.6069
8076812,-12.6081
8077742,-12.6092
8078672,-12.6104
8079602,-12.6115
8080533,-12.6127
8081463,-12.6138
8082393,-12.6150
8083324,-12.6162
8084255,-12.6174
8085185,-12.6186
8086116,-12.6198
8087047,-12.6210
8087978,-12.6222
8088910,-12.6234
8089841,-12.6246
8090772,-12.6258
8091704,-12.6270
8092636,-12.6282
8093567,-12.6295
8094499,-12.6307
8095431,-12.6319
8096363,-12.6332
8097295,-12.6344
8098228,-12.6357
8099160,-12.6369
8100093,-12.6382
8101025,-12.6395
8101958,-12.6408
8102891,-12.6420
8103824,-12.6433
8104757,-12.6446
8105690,-12.6459
8106623,-12.6472
8107557,-12.6485
8108490,-12.6498
8109424,-12.6511
8110357,-12.6524
8111291,-12.6538
8112225,-12.6551
8113159,-12.6564
8114093,-12.6578
8115027,-12.6591
8115962,-12.6605
8116896,-12.6618
8117831,-12.6632
8118765,-12.6645
8119700,-12.6659
8120635,-12.6673
8121570,-12.6687
8122505,-12.6701
8123440,-12.6714
8124375,-12.6728
8125311,-12.6742
8126246,-12.6757
8127182,-12.6771
8128118,-12.6785
8129054,-12.6799
8129990,-12.6813
8130926,-12.6828
8131862,-12.6842
8132798,-12.6857
8133734,-12.6871
8134671,-12.6886
8135607,-12.6900
8136544,-12.6915
8137481,-12.6930
8138418,-12.6944
8139355,-12.6959
8140292,-12.6974
8141229,-12.6989
8142167,-12.7004
8143104,-12.7019
8144042,-12.7034
8144979,-12.7049
8145917,-12.7065
8146855,-12.7080
8147793,-12.7095
8148731,-12.7111
8149669,-12.7126
8150608,-12.7142
8151546,-12.7157
8152485,-12.7173
8153423,-12.7189
8154362,-12.7204
8155301,-12.7220
8156240,-12.7236
8157179,-12.7252
8158118,-12.7268
8159057,-12.7284
8159997,-12.7300
8160936,-12.7316
8161876,-12.7333
8162816,-12.7349
8163755,-12.7365
8164695,-12.7382
8165635,-12.7398
8166576,-12.7415
8167516,-12.7431
8168456,-12.7448
8169397,-12.7465
8170337,-12.7481
8171278,-12.7498
8172219,-12.7515
8173160,-12.7532
8174101,-12.7549
8175042,-12.7566
8175983,-12.7583
8176924,-12.7601
8177866,-12.7618
8178808,-12.7635
8179749,-12.7653
8180691,-12.7670
8181633,-12.7688
8182575,-12.7705
8183517,-12.7723
8184459,-12.7741
8185402,-12.7758
8186344,-12.7776
8187286,-12.7794
8188229,-12.7812
8189172,-12.7830
8190115,-12.7848
8191058,-12.7866
8192001,-12.7885
8192944,-12.7903
8193887,-12.7921
8194831,-12.7940
8195774,-12.7958
8196718,-12.7977
8197662,-12.7996
8198605,-12.8014
8199549,-12.8033
8200493,-12.8052
8201438,-12.8071
8202382,-12.8090
8203326,-12.8109
8204271,-12.8128
8205215,-12.8147
8206160,-12.8166
8207105,-12.8186
8208050,-12.8205
8208995,-12.8225
8209940,-12.8244
8210885,-12.8264
8211831,-12.8283
8212776,-12.8303
8213722,-12.8323
8214667,-12.8343
8215613,-12.8363
8216559,-12.8383
8217505,-12.8403
8218451,-12.8423
8219398,-12.8444
8220344,-12.8464
8221290,-12.8484
8222237,-12.8505
8223184,-12.8525
8224130,-12.8546
8225077,-12.8567
8226024,-12.8587
8226971,-12.8608
8227919,-12.8629
8228866,-12.8650
8229813,-12.8671
8230761,-12.8692
8231709,-12.8714
8232656,-12.8735
8233604,-12.8756
8234552,-12.8778
8235500,-12.8799
8236448,-12.8821
8237397,-12.8843
8238345,-12.8864
8239294,-12.8886
8240242,-12.8908
8241191,-12.8930
8242140,-12.8952
8243089,-12.8974
8244038,-12.8997
8244987,-12.9019
8245937,-12.9041
8246886,-12.9064
8247835,-12.9086
8248785,-12.9109
8249735,-12.9132
8250685,-12.9154
8251635,-12.9177
8252585,-12.9200
8253535,-12.9223
8254485,-12.9246
8255435,-12.9270
8256386,-12.9293
8257337,-12.9316
8258287,-12.9340
8259238,-12.9363
8260189,-12.9387
8261140,-12.9411
8262091,-12.9434
8263043,-12.9458
8263994,-12.9482
8264945,-12.9506
8265897,-12.9530
8266849,-12.9555
8267800,-12.9579
8268752,-12.9603
8269704,-12.9628
8270657,-12.9652
8271609,-12.9677
8272561,-12.9702
8273514,-12.9726
8274466,-12.9751
8275419,-12.9776
8276372,-12.9801
