defeat_v,gain_at_3p5_db,peak_hz,peak_db,bandwidth_3db_hz,lower_3db_hz,upper_3db_hz,grid_step_hz,q1_gate1_v,q1_source_v,q1_drain_v,v_gs_v,drain_current_ma
3.9,20.188525921179203,3501234.947513591,20.18908673210589,202240.33026877278,3402475.718941584,3604716.049210357,805.9107417180203,1.05054056105893,2.071340809378893,11.54718099530211,-1.020800248319963,4.407108105061474
3.5,20.172410651966807,3501234.947513591,20.1729714864141,202239.92343547381,3402475.917701405,3604715.841136879,805.9107417180203,1.050564102903969,2.070123038952183,11.54744512611814,-1.019558936048214,4.404517104153581
3.0,20.152189935870904,3501234.947513591,20.152750799773095,202239.4140647906,3402476.1665902846,3604715.580655075,805.9107417180203,1.050593664177214,2.068593896262137,11.54777679269074,-1.0180002320849229,4.401263609068376
2.5,20.13188342234881,3501234.947513591,20.132444315754725,202238.90376805933,3402476.415969479,3604715.319737538,805.9107417180203,1.050623375500336,2.067056991873479,11.54811014279588,-1.016433616373143,4.397993599730807
2.0,17.26326145116621,3501234.947513591,17.26382889669544,202291.06256896956,3402457.665712971,3604748.7282819403,805.9107417180203,1.05095437230915,2.049935483722241,11.55182380493735,-0.9989811114130911,4.361564858983491
1.75,13.863643920271846,3501234.947513591,13.864217123370379,202342.4043744034,3402438.8266487652,3604781.2310231687,805.9107417180203,1.052117379446905,1.989776563314306,11.56487231597586,-0.9376591838674011,4.233567155987886
1.5,10.611390321058513,3501234.947513591,10.61196736260879,202377.83858121652,3402425.8331587026,3604803.671739919,805.9107417180203,1.053979575966446,1.893450651842593,11.5857654736801,-0.839471075876147,4.02861840817573
1.25,7.4653836882604026,3501234.947513591,7.465963210633837,202397.82169496408,3402418.873115907,3604816.694810871,805.9107417180203,1.056368866635415,1.769859727435548,11.61257243251807,-0.7134908608001331,3.7656589945437196
1.0,4.3805551047616795,3501234.947513591,4.381136132061319,202403.4043228724,3402417.740259946,3604821.1445828183,805.9107417180203,1.059139472397528,1.626544510098669,11.64365760483609,-0.567405037701141,3.460733000209934
0.875,2.845441924791605,3501234.947513591,2.8460234217041807,202401.22226168308,3402419.221638088,3604820.443899771,805.9107417180203,1.060631438616159,1.549369525940187,11.66039691375111,-0.4887380873240279,3.296530906255717
0.75,1.3059934493841667,3501234.947513591,1.3065752589298478,202395.9719272121,3402421.975540341,3604817.947467553,805.9107417180203,1.062179001611602,1.469318687342774,11.67775999758518,-0.407139685731172,3.1262099730697317
0.625,-0.24540412772221515,3501234.947513591,-0.24482214521595966,202387.84136286285,3402425.9258058537,3604813.7671687165,805.9107417180203,1.063772529069063,1.38689024483044,11.69563878543735,-0.32311771576137716,2.950830308149872
0.5,-1.8171397976896873,3501234.947513591,-1.816557768908507,202377.01655469416,3402430.993277606,3604808.0098323002,805.9107417180203,1.06540368466753,1.302515411866106,11.71393974679377,-0.23711172719857587,2.7713093869491616
0.375,-3.418634171041874,3501234.947513591,-3.418052213563183,202363.67954449914,3402437.0967954737,3604800.776339973,805.9107417180203,1.067065188838967,1.216570738041024,11.73258120777432,-0.14950554920205694,2.5884483788106896
0.25,-5.060696299773496,3501234.947513591,-5.060114525710332,202348.00758770062,3402444.1534380023,3604792.161025703,805.9107417180203,1.068750599551283,1.129389446189169,11.75149089210421,-0.06063884663788599,2.4029562684875936
0.125,-6.756021852985428,3501234.947513591,-6.755440372657051,202330.17318159947,3402452.0779868355,3604782.251168435,805.9107417180203,1.070454111019455,1.041271808312579,11.77060367056962,0.02918230270687605,2.2154719325799554
0.0,-8.519899602314384,3501234.947513591,-8.519318528261167,202310.34486829303,3402460.7814610633,3604771.1263293563,805.9107417180203,1.072170362385299,0.9524948436018851,11.78985945751721,0.11967551878341387,2.0265847736210323
