time_s,board_in_vpp,q79_3_g1_vpp,filt_loop_vpp,audio_vpp,agc_store_v,pin_bias_v,pin_branch_a,s_meter_a
0.0005,1.9992900413094006e-06,0.0011237917015452475,0.009437753023086323,1.6968316399985082,1.0789355422372,0.037957465769602,8.698206000021524e-12,8.9179388876964e-10
0.0015,1.9992900884287987e-06,0.0011284002896952315,0.0014277464216570553,0.3613171628373491,1.0790802923306,0.037957962541238004,8.62299799998939e-12,8.732168463705401e-10
0.0025,0.00019992901866306063,0.11457511272696475,0.0330600940713121,3.0915928375931814,1.0861271270594002,0.037977163560674,2.8485880000007328e-11,1.01240497490414e-09
0.0035,0.00019992902775476537,0.11548519289363834,0.034171050498718575,3.336074003305306,1.1058018451656,0.038035490965276,3.237765600000262e-11,1.43708072439802e-09
0.0045000000000000005,0.00019992900966396844,0.11548528591159439,0.03431383042303794,3.3512088979585495,1.1260759702232,0.038096111913782,3.320786200000538e-11,2.0200245692821997e-09
0.0055,0.00019992897254367113,0.11548535743024024,0.034359021681109145,3.35239256256963,1.1462215979425998,0.038159141307466,3.4363837999983615e-11,2.8393232689518e-09
0.006500000000000001,0.00019992893549752652,0.11548545368292383,0.03438319033732487,3.351755080068214,1.1663018430268,0.038225555152184,3.598417599999974e-11,3.9982821654706004e-09
0.0075,0.00019992890015330195,0.11548554140061891,0.03439935405988038,3.3510359244762635,1.1863267116076,0.038296755535594,3.827466600001008e-11,5.646557567794201e-09
0.0085,1.999289253349101e-06,0.0016009756298230207,0.0018058263581503219,0.3900531947677153,1.199854779051619,0.038349508569812604,1.8203035939289716e-11,7.094692976324874e-09
0.009500000000000001,1.9992898066073317e-06,0.001128402867036468,0.0006841133268139716,0.07466708225162272,1.2001516751998,0.038371439594087994,1.728812400000307e-11,7.099208299849e-09
