time_s,filt_loop_vpp,audio_vpp,agc_store_v,pin_bias_v,pin_branch_a,s_meter_a
0.005,0.0003447320572405913,0.033505043479971665,1.0692079418,0.037957113534999996,8.430500000218555e-12,7.355457015600001e-10
0.015,0.0003447320572412229,0.03365680507058106,1.06968943615,0.0379573330765,8.428500000226546e-12,7.417832397749999e-10
0.025,0.0003447320572299866,0.03365686197896369,1.0701515424999999,0.0379577638075,8.434000000091811e-12,7.478072438049999e-10
0.035,0.00034473205691699715,0.033656894104432955,1.0705952604,0.037958398608,8.444000000017158e-12,7.536356271900001e-10
0.045,0.0003447320569182335,0.03365691552816196,1.07102139405,0.0379592305975,8.448999999736971e-12,7.592740098800001e-10
0.05500000000000001,0.00034473205692194176,0.03365692895339941,1.0714315155223881,0.03796025595621891,8.4517412937994e-12,7.647401833432836e-10
0.065,0.00034473205691699715,0.033656938630696485,1.0718250927135677,0.03796146278492463,8.457788944637386e-12,7.700169285527639e-10
0.07500000000000001,0.0003447320569176152,0.03365694554759238,1.0722017808,0.037962843867500005,8.459500000085327e-12,7.751043314649999e-10
0.08499999999999999,0.0003447320569387394,0.03365694967894119,1.0725648843,0.037964399760999995,8.468000000198816e-12,7.800373209899999e-10
0.095,0.0003447320572406036,0.033656952386537084,1.0729138595499998,0.037966121347000004,8.463999999902547e-12,7.8480676213e-10
0.10499999999999998,0.000344732057240603,0.03365695415682156,1.0732493001,0.0379680028915,8.46950000004537e-12,7.89417609235e-10
0.11499999999999999,0.0003447320572467835,0.03365695527435813,1.0735717710000001,0.0379700388175,8.479000000276292e-12,7.9387470194e-10
0.12499999999999997,0.0003447320572406031,0.033656955973361734,1.0738818100999998,0.037972223706500004,8.481499999962725e-12,7.981827642899999e-10
0.13499999999999998,0.00034473205724060244,0.033656956421925614,1.0741799312,0.037974552320499996,8.486500000098871e-12,8.023464054799999e-10
0.145,0.0003447320572467832,0.03365695665450065,1.07446662395,0.037977019582000004,8.487000000244325e-12,8.063701195550001e-10
0.155,0.00034473205724060233,0.033656956789573145,1.07474235475,0.0379796205735,8.49349999994947e-12,8.10258286635e-10
0.165,0.0003447320572406017,0.03365695684508722,1.0750075699500001,0.037982350519,8.4969999999962e-12,8.140151735799999e-10
0.17500000000000002,0.0003447320572467833,0.03365695688499834,1.0752631276616915,0.03798521214726368,8.496019900837929e-12,8.176525282636817e-10
0.18500000000000003,0.0003447320572406025,0.033656956899327524,1.0755093387499999,0.037988194138,8.501999999924178e-12,8.2116883075e-10
0.19500000000000003,0.0003447320896146465,0.0336568392728,1.0757454385,0.037991284416499994,8.501999999820095e-12,8.245557835550001e-10
0.20500000000000004,0.034479737585984827,3.3516502759493005,1.1755490558,0.0380479323695,1.3238499999776444e-11,7.536468600325e-09
0.21500000000000005,0.03448027689106128,3.364946549789058,1.3742664288,0.040692186341000004,2.0568049999992316e-10,2.94983678165e-07
0.22500000000000006,0.03448191196476858,3.3651291908967114,1.56813897775,0.08935944020850001,2.173225499999855e-09,5.37944726955e-06
0.23500000000000007,0.03448088430301638,3.36503583845068,1.7573251706000002,0.23649226870999995,6.97536000000054e-09,2.23950904055e-05
0.24500000000000005,0.03423931529882276,3.3424681637397424,1.9419352506999998,0.40064676632999996,2.128553950000009e-07,4.5601415471e-05
0.25500000000000006,0.025739101372144867,2.5174062319399018,2.1062736177500003,0.509499244235,2.1704524199999987e-06,6.8346715377e-05
0.26500000000000007,0.016114325216560477,1.5759454911777242,2.2066955030999997,0.559338166,6.431679974999997e-06,8.273445083049999e-05
0.2750000000000001,0.011385714593194561,1.1130376331968552,2.25974632685,0.585735935185,1.1079704550000007e-05,9.042025640399999e-05
0.2850000000000001,0.00878275676916886,0.8582003030720283,2.2887641683999997,0.60064920571,1.4742833420000002e-05,9.4637571572e-05
0.2950000000000001,0.007524584099687848,0.7350234983040305,2.3054760574,0.60944123744,1.7296757440000005e-05,9.706895805400001e-05
0.3050000000000001,0.006828128904278032,0.6668728802150813,2.3158434260500003,0.6149803452849999,1.905933909e-05,9.857793476450002e-05
0.3150000000000001,0.006409415889505515,0.6259115061986272,2.3225402056999997,0.61859446396,2.0273564035e-05,9.955285527549998e-05
0.3250000000000001,0.006145064618856099,0.6000543259447602,2.3269705258499997,0.6210016166400001,2.1110358084999996e-05,0.00010019789674799998
0.33500000000000013,0.005972934494042284,0.5832190074019248,2.32994615475,0.622625942245,2.1687662274999995e-05,0.00010063116996999998
0.34500000000000014,0.005858654498813998,0.5720422428326485,2.33196353555,0.62373065021,2.2086093555000005e-05,0.00010092492801999998
0.35500000000000015,0.00578178352164138,0.5645241633345869,2.3333400507,0.624486017985,2.236122949e-05,0.00010112537291999998
0.36500000000000016,0.005729618140778408,0.5594221479815908,2.33428334425,0.625004396965,2.255131139e-05,0.000101262735335
0.37500000000000017,0.005694006465728341,0.5559389275482938,2.3349316379,0.625361012315,2.2682675014999995e-05,0.00010135714112499999
0.3850000000000002,0.005669596740261609,0.5535511465990876,2.3353780627000003,0.6256067490799999,2.277347875e-05,0.00010142215074500001
0.3950000000000002,0.005652816534584928,0.5519094697051475,2.33568593025,0.625776295765,2.2836263704999995e-05,0.00010146698364500001
0.4050000000000002,0.00564125825247146,0.5507784744121279,2.3358984547,0.62589337382,2.2879683104999997e-05,0.000101497932295
0.4150000000000002,0.00563328618670647,0.5499982166665739,2.33604526015,0.6259742658949999,2.2909713310000002e-05,0.00010151931080500001
0.4250000000000002,0.005627782693710638,0.5494594060167901,2.3361467144,0.62603017727,2.2930484425e-05,0.00010153408499499999
0.4350000000000002,0.005623980771460826,0.5490870426900185,2.33621685145,0.62606883401,2.294485235e-05,0.00010154429875
0.44500000000000023,0.005621353076917016,0.5488295588645128,2.33626535085,0.62609556692,2.2954791799999997e-05,0.00010155136151499999
0.45500000000000024,0.005619536312160322,0.5486514262844727,2.3362988945499996,0.6261140571450001,2.2961668119999998e-05,0.00010155624634000001
0.46500000000000025,0.005618279876894393,0.5485281359899655,2.3363220983,0.626126848135,2.2966425814999997e-05,0.00010155962536499999
0.47500000000000026,0.005617410754565856,0.5484427664176668,2.3363381519,0.62613569777,2.2969717805e-05,0.00010156196318999999
0.48500000000000026,0.005616809432146442,0.5483836264196097,2.33634926015,0.626141821465,2.2971995924999995e-05,0.00010156358082499998
0.4950000000000002,0.005616393307035236,0.548342634879592,2.3363569481,0.62614605947,2.2973572640000006e-05,0.00010156470038
0.5050000000000002,0.005616105277135856,0.5483142044937435,2.3363622694,0.6261489931099999,2.2974664125e-05,0.00010156547531000001
0.5150000000000002,0.0056159058620536785,0.5482944708571114,2.33636595405,0.6261510242899999,2.2975419825e-05,0.00010156601183999999
0.5250000000000002,0.005615767754185196,0.5482807608884501,2.3363685059000003,0.62615243103,2.2975943275000003e-05,0.000101566383455
0.5350000000000003,0.005615672071035486,0.5482712246358756,2.3363702736,0.62615340572,2.297630591499999e-05,0.00010156664092999999
0.5450000000000003,0.005615605745810675,0.5482645821910229,2.3363714987999997,0.626154081335,2.2976557295e-05,0.00010156681935500001
0.5550000000000003,0.0056155597421365475,0.548259947263173,2.3363723491000004,0.6261545499050001,2.297673165e-05,0.00010156694316500001
0.5650000000000003,0.005615527809965177,0.548256706323678,2.3363729389500003,0.626154875185,2.2976852714999995e-05,0.00010156702912
0.5750000000000003,0.005615505623029686,0.5482544343836568,2.3363733493,0.6261551011800001,2.2976936765e-05,0.00010156708881999999
0.5850000000000003,0.005615490187888901,0.5482528369268176,2.3363736344,0.626155258405,2.297699523e-05,0.00010156713032999999
0.5950000000000003,0.0056154794316015414,0.5482517094328915,2.3363738332,0.6261553680349999,2.2977036095e-05,0.00010156715927999998
0.6050000000000003,0.005615471920718329,0.5482509107821861,2.3363739721,0.6261554445249999,2.2977064534999998e-05,0.000101567179485
0.6150000000000003,0.005615466664024327,0.5482503422317038,2.3363740691,0.6261554980149999,2.2977084430000003e-05,0.00010156719365000002
0.6250000000000003,0.005615462970794267,0.5482499353895897,2.3363741372,0.6261555356699999,2.2977098409999998e-05,0.00010156720359499999
0.6350000000000003,0.0056154603665845276,0.5482496428199612,2.3363741854,0.626155562165,2.297710827e-05,0.00010156721055999998
0.6450000000000004,0.005615458522151656,0.5482494310075563,2.33637421945,0.62615558097,2.2977115234999996e-05,0.00010156721554
0.6550000000000004,0.005615457207735426,0.5482492770859828,2.3363742437,0.62615559436,2.297712024e-05,0.00010156721908499999
0.6650000000000004,0.0056154562647221596,0.5482491644365625,2.3363742614,0.626155603975,2.2977123799999996e-05,0.00010156722160000001
0.6750000000000004,0.005615455582159684,0.5482490818175951,2.33637427395,0.626155610925,2.2977126444999992e-05,0.00010156722346000001
0.6850000000000004,0.005615455084578305,0.54824902114003,2.33637428315,0.6261556160099999,2.2977128295000004e-05,0.00010156722479
0.6950000000000004,0.005615454714445948,0.5482489767140594,2.33637428985,0.626155619765,2.297712972e-05,0.00010156722576500001
