time_s,r_line_v,t_line_v,q79_6_base_v,agc_store_v,pin_bias_v,pin_current_a_per_branch,meter_current_a,d79_4_anode_v,d79_4_cathode_v
0.00195,12.1,0.2,0.0472229762,1.10226308,0.0379595759,9.000000002201691e-12,1.4405756800000002e-09,0.056926541,1.44057568e-06
0.002,12.1,0.2,0.0472230746,1.10552414,0.0379597427,9.199999997933084e-12,1.53610976e-09,0.0587152077,1.53610976e-06
0.00205,12.1,0.2,0.0472230889,1.10901648,0.0379599284,9.200000004871977e-12,1.62676517e-09,0.0606584578,1.62676517e-06
0.0021,12.1,0.2,0.047223019,1.11239651,0.0379601277,9.299999999268227e-12,1.7036382800000001e-09,0.0625659097,1.70363828e-06
0.00215,12.1,0.2,0.0472228726,1.1153353,0.0379603336,9.299999999268227e-12,1.75794549e-09,0.0642453518,1.75794549e-06
0.0022,12.1,0.2,0.0472226661,1.11755231,0.0379605382,9.299999999268227e-12,1.78256541e-09,0.0655252266,1.78256541e-06
0.00225,12.1,0.2,0.0472223224,1.11873175,0.0379607308,9.200000004871977e-12,1.75084948e-09,0.0662116264,1.75084948e-06
0.0023,12.1,0.2,0.0472222431,1.11889744,0.0379609066,9.09999999659794e-12,1.74028782e-09,0.0663084569,1.74028782e-06
0.00235,12.1,0.2,0.0472222226,1.11891297,0.0379610804,9.09999999659794e-12,1.7367606899999999e-09,0.0663175996,1.73676069e-06
0.0024,12.1,0.2,0.0472222227,1.11889534,0.0379612536,9.100000003536835e-12,1.7362452e-09,0.0663073402,1.7362452e-06
0.00245,12.1,0.2,0.0472222227,1.11887775,0.0379614268,9.100000003536835e-12,1.7357217099999998e-09,0.0662971028,1.73572171e-06
0.0025,12.1,0.2,0.0472222227,1.11886017,0.0379615999,9.09999999659794e-12,1.73519662e-09,0.0662868677,1.73519662e-06
0.00255,12.1,0.2,0.0472222227,1.11884259,0.0379617729,9.100000003536835e-12,1.73467365e-09,0.0662766361,1.73467365e-06
0.0026,12.1,0.2,0.0472222227,1.11882501,0.0379619458,9.100000003536835e-12,1.7341496900000001e-09,0.0662664094,1.73414969e-06
