time_s,u89_1_pin1_v,u89_1_pin4_v,u89_1_signal_diff_v,u89_1_pin8_v,u89_1_pin10_v,u89_1_carrier_diff_v,u89_1_pin6_v,u89_1_pin12_v,u89_1_output_diff_v
6.006397956430e-05,6.908072903879e+00,6.783092301127e+00,1.249806027525e-01,1.001465409213e+01,1.001645248211e+01,-1.798389986789e-03,1.281094709861e+01,1.275496443619e+01,5.598266242044e-02
6.006597956430e-05,6.905105436901e+00,6.783094020024e+00,1.220114168768e-01,1.001675160664e+01,1.001643737298e+01,3.142336603492e-04,1.281197380370e+01,1.275704648032e+01,5.492732337850e-02
6.006797956430e-05,6.901626947593e+00,6.783096367828e+00,1.185305797649e-01,1.001889404925e+01,1.001643199733e+01,2.462051918769e-03,1.281158320781e+01,1.275913995223e+01,5.244325557800e-02
6.006997956430e-05,6.897652410910e+00,6.783099344160e+00,1.145530667499e-01,1.002106344209e+01,1.001643642452e+01,4.627017566380e-03,1.280979685904e+01,1.276120376778e+01,4.859309126204e-02
6.007197956430e-05,6.893199415003e+00,6.783102942082e+00,1.100964729208e-01,1.002324189884e+01,1.001645064049e+01,6.791258352669e-03,1.280667064875e+01,1.276319753186e+01,4.347311688781e-02
6.007397956430e-05,6.888287089565e+00,6.783107147933e+00,1.051799416323e-01,1.002541060083e+01,1.001647454713e+01,8.936053696479e-03,1.280229338672e+01,1.276508150971e+01,3.721187701250e-02
6.007597956430e-05,6.882937018419e+00,6.783111941230e+00,9.982507718979e-02,1.002755094554e+01,1.001650796153e+01,1.104298401593e-02,1.279678475233e+01,1.276681801601e+01,2.996673631575e-02
6.007797956430e-05,6.877172160281e+00,6.783117294637e+00,9.405486564390e-02,1.002964376821e+01,1.001655061658e+01,1.309315162266e-02,1.279029246289e+01,1.276837154099e+01,2.192092190400e-02
6.007997956430e-05,6.871017718697e+00,6.783123173977e+00,8.789454471956e-02,1.003167035102e+01,1.001660216196e+01,1.506818906219e-02,1.278298886393e+01,1.276971008274e+01,1.327878118479e-02
6.008197956430e-05,6.864500090882e+00,6.783129538353e+00,8.137055252855e-02,1.003361183338e+01,1.001666216625e+01,1.694966712545e-02,1.277506683571e+01,1.277080544600e+01,4.261389715561e-03
6.008397956430e-05,6.857647673898e+00,6.783136340303e+00,7.451133359447e-02,1.003545012392e+01,1.001673011971e+01,1.872000421427e-02,1.276673520821e+01,1.277163453803e+01,-4.899329821550e-03
6.008597956430e-05,6.850489857355e+00,6.783143526104e+00,6.734633125126e-02,1.003716745328e+01,1.001680543807e+01,2.036201521161e-02,1.275821363399e+01,1.277217976392e+01,-1.396612992824e-02
6.008797956430e-05,6.843057758566e+00,6.783151036096e+00,5.990672247032e-02,1.003874720699e+01,1.001688746701e+01,2.185973997769e-02,1.274972712293e+01,1.277243019956e+01,-2.270307662816e-02
6.008997956430e-05,6.835383265307e+00,6.783158805170e+00,5.222446013643e-02,1.004017357800e+01,1.001697548768e+01,2.319809032647e-02,1.274150025165e+01,1.277238189393e+01,-3.088164228239e-02
6.009197956430e-05,6.827499699461e+00,6.783166763283e+00,4.433293617755e-02,1.004143232047e+01,1.001706872270e+01,2.436359777689e-02,1.273375128155e+01,1.277203871697e+01,-3.828743541573e-02
6.009397956430e-05,6.819440911554e+00,6.783174836120e+00,3.626607543353e-02,1.004251045959e+01,1.001716634318e+01,2.534411640775e-02,1.272668626139e+01,1.277141230642e+01,-4.472604503222e-02
6.009597956430e-05,6.811241875720e+00,6.783182945781e+00,2.805892993918e-02,1.004339695485e+01,1.001726747610e+01,2.612947874852e-02,1.272049337573e+01,1.277052235610e+01,-5.002898036157e-02
6.009797956430e-05,6.802937835689e+00,6.783191011600e+00,1.974682408888e-02,1.004408242744e+01,1.001737121244e+01,2.671121500041e-02,1.271533765519e+01,1.276939598962e+01,-5.405833442326e-02
6.009997956430e-05,6.794564835592e+00,6.783198950960e+00,1.136588463138e-02,1.004455971893e+01,1.001747661561e+01,2.708310331730e-02,1.271135630702e+01,1.276806736200e+01,-5.671105497209e-02
6.010197956430e-05,6.786158916292e+00,6.783206680227e+00,2.952236064688e-03,1.004482360475e+01,1.001758273038e+01,2.724087436653e-02,1.270865477659e+01,1.276657641729e+01,-5.792164069870e-02
6.010397956430e-05,6.777756587488e+00,6.783214115638e+00,-5.457528150040e-03,1.004487124028e+01,1.001768859196e+01,2.718264831483e-02,1.270730374932e+01,1.276496788360e+01,-5.766413427700e-02
