frequency;user0 (gain);user1 (gain);user2 (gain);user3 (gain)
3000000.0;-3.7770959523575036;-15.671344637314096;4.4809872648150595;7.4132614201415326
3000690.855062474;-3.7637390539731816;-15.659805850396975;4.480946007355296;7.415120789068496
3001381.86921852;-3.7503693274202736;-15.648254654369376;4.480904763029719;7.416980563919379
3002073.042504776;-3.7369867541772885;-15.636691027366892;4.480863531831085;7.418840741358521
3002764.374957887;-3.723591315720853;-15.625114947533492;4.48082231375073;7.4207013180619095
3003455.866614505;-3.7101829935186057;-15.613526392979898;4.480781108780468;7.42256229068082
3004147.517511295;-3.6967617689900494;-15.601925341777445;4.4807399169128495;7.424423655874545
3004839.327684925;-3.6833276235753853;-15.590311771986125;4.480698738139911;7.42628541027083
3005531.297172076;-3.6698805386848155;-15.57868566164352;4.480657572453744;7.428147550504962
3006223.426009434;-3.6564204957394812;-15.567046988776854;4.480616419845888;7.430010073191481
3006915.714233696;-3.642947476125361;-15.555395731368911;4.480575280308912;7.431872974934638
3007608.161881567;-3.6294614612148934;-15.543731867392696;4.480534153834891;7.433736252342912
3008300.768989758;-3.6159624324100106;-15.532055374810929;4.480493040415398;7.435599901985521
3008993.535594992;-3.6024503710451334;-15.520366231549378;4.48045194004275;7.437463920461499
3009686.461733998;-3.5889252584774893;-15.508664415513628;4.480410852709257;7.439328304326881
3010379.547443514;-3.5753870760586004;-15.496949904599724;4.480369778406745;7.4411930501343795
3011072.792760287;-3.561835805114989;-15.485222676672961;4.480328717127545;7.443058154430428
3011766.197721072;-3.5482714269810476;-15.473482709602173;4.48028766886298;7.444923613758142
3012459.762362634;-3.5346939229470804;-15.461729981196207;4.480246633606162;7.446789424642964
3013153.486721743;-3.521103274346885;-15.449964469280992;4.480205611348621;7.448655583585485
3013847.37083518;-3.5074994624760585;-15.43818615166302;4.48016460208198;7.45052208710498
3014541.414739735;-3.493882468605121;-15.426395006096449;4.480123605799306;7.452388931692023
3015235.618472205;-3.4802522740359305;-15.414591010358222;4.480082622491942;7.454256113830352
3015929.982069396;-3.466608860042228;-15.402774142184217;4.48004165215223;7.456123629989758
3016624.505568123;-3.452952207894742;-15.390944379299928;4.480000694772249;7.457991476632935
3017319.189005208;-3.4392822988408147;-15.379101699408299;4.479959750344344;7.4598596502231445
3018014.032417483;-3.425599114174504;-15.367246080218187;4.479918818859884;7.461728147183798
3018709.035841787;-3.411902635117203;-15.355377499389466;4.479877900311676;7.463596963960587
3019404.19931497;-3.3981928429389923;-15.343495934593467;4.479836994691364;7.465466096963109
3020099.522873887;-3.384469718877497;-15.331601363477114;4.4797961019910195;7.467335542608597
3020795.006555405;-3.370733244159677;-15.319693763659238;4.479755222203249;7.469205297296312
3021490.650396396;-3.356983400037594;-15.307773112768391;4.479714355319661;7.471075357411135
3022186.454433744;-3.3432201677439584;-15.295839388407286;4.479673501332371;7.472945719330958
3022882.41870434;-3.3294435284870874;-15.283892568147941;4.479632660234213;7.474816379426644
3023578.543245082;-3.315653463529458;-15.271932629596524;4.47959183201606;7.476687334051007
3024274.828092878;-3.301849954081579;-15.259959550298356;4.479551016670783;7.478558579545995
3024971.273284645;-3.288032981363544;-15.247973307811328;4.479510214190251;7.480430112257536
3025667.878857308;-3.2742025266037116;-15.235973879669324;4.479469424566798;7.482301928498815
3026364.644847799;-3.2603585710275067;-15.223961243406483;4.479428647792328;7.484174024586647
3027061.571293061;-3.246501095846464;-15.211935376529402;4.479387883859431;7.486046396823507
3027758.658230043;-3.2326300823020278;-15.199896256562406;4.479347132759503;7.487919041500877
3028455.905695706;-3.2187455116096073;-15.18784386099766;4.479306394484894;7.4897919549031595
3029153.313727016;-3.204847365005474;-15.175778167322264;4.479265669027765;7.491665133289024
3029850.882360949;-3.1909356236975235;-15.16369915301002;4.479224956380453;7.493538572932042
3030548.611634489;-3.177010268937406;-15.15160679553744;4.479184256534855;7.495412270065179
3031246.501584629;-3.163071281947449;-15.13950107236706;4.47914356948309;7.49728622093652
3031944.552248371;-3.149118643967759;-15.127381960953105;4.47910289521733;7.499160421768018
3032642.763662725;-3.1351523362441136;-15.11524943874469;4.479062233729667;7.501034868770909
3033341.135864709;-3.1211723400285694;-15.103103483189479;4.479021585012015;7.502909558148896
3034039.66889135;-3.1071786365357386;-15.090944071698967;4.478980949057473;7.504784486105754
3034738.362779683;-3.0931712070820327;-15.078771181739672;4.478940325856736;7.506659648800903
3035437.217566754;-3.0791500328793955;-15.066584790712946;4.478899715402923;7.50853504243063
3036136.233289613;-3.065115095229176;-15.054384876052643;4.478859117687671;7.510410663135793
3036835.409985323;-3.051066375381846;-15.042171415157654;4.478818532703863;7.512286507071947
3037534.747690952;-3.0370038546494893;-15.029944385460901;4.478777960442915;7.514162570368498
3038234.246443579;-3.0229275143206715;-15.017703764379938;4.47873740089674;7.516038849162525
3038933.906280292;-3.0088373356831406;-15.005449529305936;4.478696854058234;7.517915339564563
3039633.727238184;-2.9947333000677308;-14.993181657653968;4.478656319919272;7.519792037666965
3040333.709354361;-2.9806153887927738;-14.980900126837284;4.478615798471793;7.521668939572717
3041033.852665933;-2.9664835831927134;-14.968604914263166;4.478575289707945;7.523546041362508
3041734.157210023;-2.952337864604288;-14.956295997326588;4.4785347936203825;7.525423339101918
3042434.62302376;-2.9381782144059314;-14.943973353455377;4.4784943102004995;7.527300828848946
3043135.25014428;-2.9240046139382647;-14.931636960033712;4.478453839441489;7.529178506653956
3043836.038608732;-2.909817044620655;-14.919286794499946;4.478413381334514;7.531056368544778
3044536.98845427;-2.8956154878412006;-14.906922834269311;4.47837293587173;7.532934410556377
3045238.099718058;-2.881399925002783;-14.894545056735184;4.478332503046294;7.534812628686106
3045939.372437268;-2.8671703375608057;-14.882153439352487;4.47829208284917;7.536691018942512
3046640.80664908;-2.852926706925511;-14.869747959517891;4.478251675273722;7.538569577318659
3047342.402390684;-2.838669014600672;-14.857328594696572;4.478211280310917;7.540448299784983
3048044.159699279;-2.824397242040389;-14.844895322309512;4.478170897953663;7.542327182315459
3048746.07861207;-2.8101113707521574;-14.832448119803662;4.478130528194136;7.544206220857369
3049448.159166272;-2.7958113822574857;-14.819986964639515;4.478090171024286;7.546085411357746
3050150.401399109;-2.781497258102632;-14.807511834287038;4.478049826436031;7.547964749748375
3050852.805347814;-2.76716897983825;-14.795022706205707;4.478009494422047;7.549844231945411
3051555.371049626;-2.7528265290483134;-14.782519557883786;4.477969174974273;7.551723853861202
3052258.098541796;-2.738469887337006;-14.77000236681417;4.477928868084906;7.553603611392257
3052960.987861581;-2.7240990363305007;-14.75747111050056;4.47788857374614;7.555483500423917
3053664.039046248;-2.7097139576943547;-14.744925766466316;4.477848291949908;7.557363516822052
3054367.252133071;-2.6953146330833153;-14.732366312227917;4.477808022688888;7.559243656455715
3055070.627159335;-2.6809010441973062;-14.71979272532737;4.4777677659552895;7.561123915174778
3055774.164162331;-2.666473172778105;-14.707204983336368;4.477727521740819;7.563004288817444
3056477.863179361;-2.6520310005909526;-14.694603063834553;4.477687290037406;7.564884773206194
3057181.724247734;-2.637574509397056;-14.681986944390747;4.477647070838012;7.566765364155678
3057885.747404767;-2.6231036810111603;-14.669356602617963;4.477606864134586;7.568646057472218
3058589.932687787;-2.608618497275031;-14.656712016133792;4.477566669919577;7.570526848939183
3059294.28013413;-2.5941189400666125;-14.64405316259435;4.477526488184705;7.572407734343032
3059998.78978114;-2.579604991296214;-14.631380019668805;4.477486318921925;7.574288709450665
3060703.461666168;-2.5650766328971746;-14.618692565027212;4.4774461621239325;7.576169770006105
3061408.295826576;-2.5505338468086673;-14.605990776359516;4.477406017783449;7.5780509117674
3062113.292299733;-2.535976615080951;-14.59327463143417;4.477365885891197;7.579932130462021
3062818.451123018;-2.5214049197133925;-14.580544107952413;4.477325766441121;7.5818134217979
3063523.772333817;-2.5068187428167783;-14.567799183730337;4.477285659423955;7.583694781489605
3064229.255969526;-2.492218066465869;-14.555039836538777;4.477245564832913;7.5855762052399935
3064934.902067548;-2.477602872847654;-14.542266044224068;4.477205482659462;7.587457688716954
3065640.710665297;-2.4629731441254674;-14.529477784624618;4.47716541289633;7.5893392276028235
3066346.681800194;-2.448328862535957;-14.516675035620686;4.477125355535737;7.591220817548993
3067052.815509668;-2.433670010359511;-14.503857775134891;4.477085310569418;7.5931024542059635
3067759.111831157;-2.4189965698981144;-14.49102598110012;4.477045277989854;7.594984133212153
3068465.570802111;-2.4043085234929067;-14.478179631465371;4.477005257789994;7.59686585018247
3069172.192459983;-2.3896058535799574;-14.46531870426799;4.476965249960863;7.5987476007271715
3069878.976842238;-2.374888542589597;-14.452443177529252;4.476925254495171;7.600629380444486
3070585.923986349;-2.360156573013315;-14.439553029325818;4.476885271384916;7.602511184927585
3071293.033929798;-2.345409927371979;-14.426648237741446;4.476845300623071;7.6043930097463965
3072000.306710076;-2.3306485882642445;-14.413728780924188;4.476805342201611;7.606274850458336
3072707.74236468;-2.315872538344864;-14.400794637073414;4.47676539611208;7.60815670261647
3073415.340931118;-2.3010817602849;-14.387845784385743;4.4767254623474075;7.610038561753437
3074123.102446908;-2.2862762368269114;-14.374882201124015;4.476685540899644;7.611920423397461
3074831.026949572;-2.271455950779762;-14.361903865593577;4.476645631760766;7.613802283053051
3075539.114476646;-2.2566208849724134;-14.348910756126758;4.476605734923253;7.615684136231092
3076247.36506567;-2.241771022319156;-14.335902851106075;4.47656585037938;7.61756597840754
