supply_v,q1_gate1_v,q1_source_v,q1_drain_v,v_gs_v,drain_current_ma
0.0,2.879769057905964e-09,5.283640563385885e-08,3.230018631129971e-08,-4.995663657595289e-08,1.1241788432735927e-07
0.05,0.003832034230749007,0.03683329817953179,0.04199610906789421,-0.033001263948782784,0.07836871953091872
0.1,0.007666522452604093,0.07353945620147942,0.08401975116813525,-0.06587293374887533,0.1564669280882541
0.15,0.0115035791713146,0.1101127532443097,0.1260722109115056,-0.0986091740729951,0.23428245371129724
0.2,0.0153433195964254,0.1465472300255336,0.1681547808707076,-0.1312039104291082,0.3118026170756034
0.25,0.01918587134127966,0.1828362855721539,0.2102688928015866,-0.16365041423087423,0.3890133735577742
0.3,0.02303136795274423,0.2189730119205315,0.2524160450464894,-0.19594164396778727,0.46590002536283304
0.35,0.02687995125425351,0.2549500729940183,0.2945978288057738,-0.22807012173976476,0.5424469638170601
0.4,0.03073177195640632,0.2907596729780079,0.3368159349973146,-0.2600279010216016,0.6186376020808679
0.45,0.03458526391454578,0.3264828238730512,0.3790527920591981,-0.2918975599585054,0.694644306112875
0.4999999999999999,0.038443935193335,0.3619380639553089,0.4213477591714615,-0.3234941287619739,0.7700809871389551
0.5499999999999999,0.0423063764976639,0.397198291871696,0.4636850245644928,-0.3548919153740321,0.8451027486631829
0.6,0.04617275520413121,0.432254849710827,0.5060664661455787,-0.3860820945066958,0.9196911695975042
0.65,0.05004327663019507,0.4670971170268204,0.5484943874971913,-0.4170538403966253,0.993823653248554
0.7000000000000001,0.05391816023838431,0.501713741683869,0.590971250905821,-0.44779558144548465,1.0674760461358914
0.7500000000000001,0.05779764027715142,0.536092606718467,0.6334996845496913,-0.47829496644131564,1.1406225674861
0.8000000000000002,0.06168196691289921,0.5702207717518796,0.6760824952063659,-0.5085388048389804,1.2132356845784673
0.8500000000000002,0.0655714074608303,0.6040844093834894,0.718722682049098,-0.538513001922659,1.2852859774116796
0.9000000000000002,0.06946624770943167,0.6376687366293313,0.7614234515178832,-0.5682024889198997,1.3567419928283644
0.9500000000000003,0.07336679334766101,0.6709579411306277,0.8041882333248584,-0.5975911477829666,1.4275700875119737
1.0,0.07727337149663387,0.7039351018692773,0.8470206976511355,-0.6266617303726435,1.4977342592963347
1.05,0.08118633235431466,0.7365821041602153,0.8899247735851717,-0.6553957718059007,1.5671959662983304
1.1,0.08510605095254543,0.7688795487382012,0.9329046688416336,-0.6837734977856558,1.6359139334855344
1.15,0.08903292903055034,0.8008066548293984,0.9759648907855618,-0.711773725798848,1.7038439464455286
1.2,0.09296739702585262,0.8323411571931211,1.019110268763834,-0.7393737601672684,1.7709386323257894
