band,band_key,load_ohm,coil_q,peak_hz,peak_db,gain_at_target_db,bandwidth_3db_hz,loaded_q,grid_step_hz
3.5 MHz,3p5,1000000.0,70.0,3500902.337286461,20.189079891397355,20.188581414001746,202240.66842186917,17.31057538824814,402.98667757213116
3.5 MHz,3p5,1000000.0,50.0,3498082.079931697,15.038117944865823,15.037359459802584,281335.5804461031,12.433841728745866,402.98667757213116
3.5 MHz,3p5,1000000.0,30.0,3486020.973238095,6.986463456125975,6.970987067163585,468759.03985307366,7.436701325974945,402.98667757213116
3.5 MHz,3p5,1000000.0,20.0,3462421.976770314,0.7006644313405251,0.6519092964024121,712296.565469183,4.860927518988737,402.98667757213116
3.5 MHz,3p5,1000000.0,10.0,3345646.068884561,-8.763079018358955,-8.9547150497434,1594032.651736673,2.098856673506363,402.98667757213116
3.5 MHz,3p5,100000.0,70.0,3501305.416765829,20.13167637099525,20.131130415882133,203523.63893618993,17.203433640765343,402.98667757213116
3.5 MHz,3p5,100000.0,50.0,3498082.079931697,14.996449684373871,14.995728102410125,282602.38640042813,12.378105239971879,402.98667757213116
3.5 MHz,3p5,100000.0,30.0,3486020.973238095,6.9605986692856145,6.945231715348009,470031.95956744114,7.416561581144811,402.98667757213116
3.5 MHz,3p5,100000.0,20.0,3462421.976770314,0.6826695244204222,0.6340821588313305,713622.349954383,4.851896772840204,402.98667757213116
3.5 MHz,3p5,100000.0,10.0,3345646.068884561,-8.773447201746112,-8.96473686385345,1595935.9394645626,2.09635361053842,402.98667757213116
3.5 MHz,3p5,22000.0,70.0,3501305.416765829,19.908991096006993,19.908255566428313,208573.88515004935,16.786883047448477,402.98667757213116
3.5 MHz,3p5,22000.0,50.0,3498484.834698246,14.834100888823391,14.833513161282486,287588.46236069454,12.16489982240815,402.98667757213116
3.5 MHz,3p5,22000.0,30.0,3486020.973238095,6.859384176713736,6.844434444308109,475043.9181165751,7.338313028107499,402.98667757213116
3.5 MHz,3p5,22000.0,20.0,3462421.976770314,0.6121038389086884,0.5641621313366266,718844.7762774732,4.816647614385422,402.98667757213116
3.5 MHz,3p5,22000.0,10.0,3345260.909318321,-8.814179641393254,-9.004120992325307,1603447.7951322664,2.086292375388732,402.98667757213116
3.5 MHz,3p5,10000.0,70.0,3501708.542654108,19.576678055755036,19.57563252965058,216330.56268239254,16.186841559669816,402.98667757213116
3.5 MHz,3p5,10000.0,50.0,3498484.834698246,14.589769302925163,14.589341256843644,295244.5645903549,11.8494470492702,402.98667757213116
3.5 MHz,3p5,10000.0,30.0,3486020.973238095,6.705737460377704,6.691388374804874,482746.43053360423,7.221225788008041,402.98667757213116
3.5 MHz,3p5,10000.0,20.0,3462421.976770314,0.5045351638729277,0.45754080281664394,726878.0680366368,4.763415115994114,402.98667757213116
3.5 MHz,3p5,10000.0,10.0,3345260.909318321,-8.876499174975926,-9.064415587488936,1615048.7701978371,2.071306434237611,402.98667757213116
3.5 MHz,3p5,4700.0,70.0,3502514.933678775,18.925814434227217,18.924043033237385,232312.4790445082,15.07674038038971,402.98667757213116
3.5 MHz,3p5,4700.0,50.0,3498887.63583632,14.104155158710094,14.103964517735601,311018.55341926916,11.249771428007504,402.98667757213116
3.5 MHz,3p5,4700.0,30.0,3486020.973238095,6.39573117337358,6.382479953653662,498638.40897977864,6.991079929784278,402.98667757213116
3.5 MHz,3p5,4700.0,20.0,3462023.373654726,0.28587121577075864,0.24066840266448153,743480.966681866,4.656505719447851,402.98667757213116
3.5 MHz,3p5,4700.0,10.0,3345260.909318321,-9.004030048869431,-9.187942476459693,1639205.2346223095,2.0407822270584104,402.98667757213116
3.5 MHz,3p5,2200.0,70.0,3503724.868416214,17.669314518364565,17.66572481955341,266309.18821134185,13.15660526754215,402.98667757213116
3.5 MHz,3p5,2200.0,50.0,3499693.377248402,13.141305506255792,13.14130302595841,344578.22072577244,10.156455535341516,402.98667757213116
3.5 MHz,3p5,2200.0,30.0,3486020.973238095,5.763191247473395,5.751752234560653,532561.8319951072,6.5457581895769845,402.98667757213116
3.5 MHz,3p5,2200.0,20.0,3461624.816427376,-0.1669226883646624,-0.2089493140815561,779056.6130027692,4.4433546402809005,402.98667757213116
3.5 MHz,3p5,2200.0,10.0,3344490.723202481,-9.271706743858822,-9.447812322375995,1691800.5764846094,1.9768823640857214,402.98667757213116
3.5 MHz,3p5,1000.0,70.0,3507357.181019108,15.341663718450558,15.333662148826717,341435.8098096396,10.27237647678069,402.98667757213116
3.5 MHz,3p5,1000.0,50.0,3501708.542654108,11.276799014335243,11.27653544637168,418862.27032165416,8.360047659496912,402.98667757213116
3.5 MHz,3p5,1000.0,30.0,3486020.973238095,4.4737604027685265,4.464567500363711,608294.018323502,5.7308158032620415,402.98667757213116
3.5 MHz,3p5,1000.0,20.0,3460429.420021929,-1.1163918189072375,-1.15383798850202,859193.7590882597,4.02753090722399,402.98667757213116
3.5 MHz,3p5,1000.0,10.0,3342181.228620616,-9.848579468330218,-10.010458562085686,1814583.995982186,1.8418443213545383,402.98667757213116
3.5 MHz,3p5,470.0,70.0,3515442.474345583,11.84188721892913,11.82537906546703,488068.40287598735,7.202765951720126,402.98667757213116
