frequency_hz,resistance_ohm,reactance_ohm,magnitude_ohm
3500000.0,993.7920533278393,-89.22718924814056,997.7896254014101
7000000.0,986.4805310755438,-108.07374296387064,992.3828757638394
14200000.0,958.9534442629107,-175.83865575084886,974.9415065120393
21200000.0,920.9020585065718,-237.94076747520376,951.1447892872727
29000000.0,871.2603131301947,-295.7718672168954,920.0953921592553
